"","V1"
"1",0.951266
"2",0.995411
"3",0.949045
"4",0.98945
"5",0.978519
"6",0.966461
"7",0.993538
"8",0.983339
"9",0.939369
"10",0.998755
"11",0.985055
"12",0.981277
"13",0.977419
"14",0.915509
"15",0.972128
"16",0.993285
"17",0.939717
"18",0.970156
"19",0.965654
"20",0.957095
"21",0.987857
"22",0.999681
"23",0.993174
"24",0.983336
"25",0.99673
"26",0.979133
"27",0.997444
"28",0.982857
"29",0.97434
"30",0.988563
"31",0.950378
"32",0.9993
"33",0.97788
"34",0.952657
"35",0.989705
"36",0.975494
"37",0.956659
"38",0.955153
"39",0.992984
"40",0.992481
"41",0.999531
"42",0.904941
"43",0.989483
"44",0.98307
"45",0.975403
"46",0.987018
"47",0.990344
"48",0.981499
"49",0.989225
"50",0.986822
"51",0.98377
"52",0.980414
"53",0.993602
"54",0.997605
"55",0.993573
"56",0.922657
"57",0.994362
"58",0.953588
"59",0.988111
"60",0.940628
"61",0.971951
"62",0.993602
"63",0.995551
"64",0.981315
"65",0.989304
"66",0.997554
"67",0.909344
"68",0.99589
"69",0.993049
"70",0.979794
"71",0.999312
"72",0.999088
"73",0.979672
"74",0.950884
"75",0.993288
"76",0.96966
"77",0.969343
"78",0.976122
"79",0.979826
"80",0.965729
"81",0.877848
"82",0.997151
"83",0.959093
"84",0.953454
"85",0.941854
"86",0.987273
"87",0.978975
"88",0.978236
"89",0.936704
"90",0.997482
"91",0.998317
"92",0.991095
"93",0.93764
"94",0.963471
"95",0.962014
"96",0.878419
"97",0.94317
"98",0.977425
"99",0.937013
"100",0.9584
"101",0.985916
"102",0.991607
"103",0.935909
"104",0.983655
"105",0.998963
"106",0.966646
"107",0.992858
"108",0.896844
"109",0.979463
"110",0.973057
"111",0.979147
"112",0.99459
"113",0.963115
"114",0.999226
"115",0.983468
"116",0.976484
"117",0.998482
"118",0.998441
"119",0.975437
"120",0.987283
"121",0.996167
"122",0.957925
"123",0.985788
"124",0.984093
"125",0.994079
"126",0.968477
"127",0.972271
"128",0.967743
"129",0.994738
"130",0.982971
"131",0.998529
"132",0.97966
"133",0.943853
"134",0.970899
"135",0.982214
"136",0.980226
"137",0.986222
"138",0.931521
"139",0.970533
"140",0.996283
"141",0.988349
"142",0.948018
"143",0.963965
"144",0.980698
"145",0.979148
"146",0.991461
"147",0.989525
"148",0.975964
"149",0.929551
"150",0.997796
"151",0.978426
"152",0.936554
"153",0.996387
"154",0.973926
"155",0.96861
"156",0.981283
"157",0.989431
"158",0.972492
"159",0.990007
"160",0.979084
"161",0.884799
"162",0.934439
"163",0.935127
"164",0.986308
"165",0.98863
"166",0.920188
"167",0.982793
"168",0.890219
"169",0.99446
"170",0.97896
"171",0.995014
"172",0.941759
"173",0.972443
"174",0.993573
"175",0.99105
"176",0.992556
"177",0.976122
"178",0.997255
"179",0.99962
"180",0.981053
"181",0.968971
"182",0.949988
"183",0.989184
"184",0.995763
"185",0.967516
"186",0.997306
"187",0.99584
"188",0.986098
"189",0.971128
"190",0.997558
"191",0.966987
"192",0.999441
"193",0.999543
"194",0.999827
"195",0.996675
"196",0.997615
"197",0.996675
"198",0.97892
"199",0.963647
"200",0.985726
"201",0.998057
"202",0.988254
"203",0.930373
"204",0.995357
"205",0.988287
"206",0.966113
"207",0.970515
"208",0.951725
"209",0.985287
"210",0.999864
"211",0.959688
"212",0.991818
"213",0.972181
"214",0.997929
"215",0.906355
"216",0.987716
"217",0.974677
"218",0.988858
"219",0.980212
"220",0.960693
"221",0.992938
"222",0.985157
"223",0.967985
"224",0.976443
"225",0.902572
"226",0.99303
"227",0.999475
"228",0.963619
"229",0.973315
"230",0.989607
"231",0.958857
"232",0.964189
"233",0.946973
"234",0.960404
"235",0.993702
"236",0.896293
"237",0.947133
"238",0.93821
"239",0.98783
"240",0.97559
"241",0.97405
"242",0.955333
"243",0.99412
"244",0.92355
"245",0.992759
"246",0.990716
"247",0.986967
"248",0.967813
"249",0.962009
"250",0.993908
"251",0.963573
"252",0.991413
"253",0.978239
"254",0.956616
"255",0.994432
"256",0.997468
"257",0.972917
"258",0.986614
"259",0.968129
"260",0.974836
"261",0.964198
"262",0.966859
"263",0.932318
"264",0.999915
"265",0.987356
"266",0.998493
"267",0.996657
"268",0.999974
"269",0.982262
"270",0.996097
"271",0.977134
"272",0.932609
"273",0.996796
"274",0.982311
"275",0.90268
"276",0.943668
"277",0.996077
"278",0.994795
"279",0.987451
"280",0.947193
"281",0.982971
"282",0.992114
"283",0.997914
"284",0.985303
"285",0.982188
"286",0.979153
"287",0.983484
"288",0.964896
"289",0.929732
"290",0.998229
"291",0.995306
"292",0.980113
"293",0.995078
"294",0.988706
"295",0.996826
"296",0.989083
"297",0.988628
"298",0.989679
"299",0.991404
"300",0.99163
"301",0.990792
"302",0.975363
"303",0.98653
"304",0.960099
"305",0.990192
"306",0.991525
"307",0.98081
"308",0.939978
"309",0.995197
"310",0.997735
"311",0.994779
"312",0.991451
"313",0.913324
"314",0.987726
"315",0.980244
"316",0.987811
"317",0.997597
"318",0.989799
"319",0.978627
"320",0.900361
"321",0.984269
"322",0.999163
"323",0.996103
"324",0.976117
"325",0.993608
"326",0.958458
"327",0.879983
"328",0.914227
"329",0.933756
"330",0.995073
"331",0.969477
"332",0.966122
"333",0.980286
"334",0.997817
"335",0.967847
"336",0.940876
"337",0.997875
"338",0.991689
"339",0.988631
"340",0.998328
"341",0.995611
"342",0.991816
"343",0.996056
"344",0.999711
"345",0.887576
"346",0.97635
"347",0.890583
"348",0.986386
"349",0.98058
"350",0.913633
"351",0.988371
"352",0.943386
"353",0.993955
"354",0.99848
"355",0.960706
"356",0.97935
"357",0.998266
"358",0.99011
"359",0.979786
"360",0.983991
"361",0.988746
"362",0.974555
"363",0.977793
"364",0.983273
"365",0.995007
"366",0.999622
"367",0.978217
"368",0.967071
"369",0.982093
"370",0.970373
"371",0.983378
"372",0.979712
"373",0.998122
"374",0.997169
"375",0.991311
"376",0.973432
"377",0.949241
"378",0.999769
"379",0.99939
"380",0.971559
"381",0.990045
"382",0.997542
"383",0.962784
"384",0.914619
"385",0.997769
"386",0.947704
"387",0.978846
"388",0.987145
"389",0.973509
"390",0.949472
"391",0.953464
"392",0.996906
"393",0.971879
"394",0.981731
"395",0.950171
"396",0.945618
"397",0.949522
"398",0.996598
"399",0.985704
"400",0.994043
"401",0.994813
"402",0.98099
"403",0.988014
"404",0.965813
"405",0.985834
"406",0.995277
"407",0.999982
"408",0.991085
"409",0.942424
"410",0.982158
"411",0.95085
"412",0.967346
"413",0.980551
"414",0.990189
"415",0.998508
"416",0.966866
"417",0.994215
"418",0.921161
"419",0.951485
"420",0.999194
"421",0.980682
"422",0.982485
"423",0.958447
"424",0.98454
