"","V1"
"1",0.949921
"2",0.962682
"3",0.925219
"4",0.977239
"5",0.971027
"6",0.836667
"7",0.794922
"8",0.919073
"9",0.930815
"10",0.973132
"11",0.946847
"12",0.843014
"13",0.930254
"14",0.724732
"15",0.83277
"16",0.854821
"17",0.92342
"18",0.951863
"19",0.798692
"20",0.834758
"21",0.777305
"22",0.957073
"23",0.981434
"24",0.946226
"25",0.902025
"26",0.924402
"27",0.845254
"28",0.964358
"29",0.892068
"30",0.96351
"31",0.720078
"32",0.919138
"33",0.747685
"34",0.915231
"35",0.859343
"36",0.799992
"37",0.86601
"38",0.94355
"39",0.931638
"40",0.812726
"41",0.953884
"42",0.690359
"43",0.837765
"44",0.925672
"45",0.948667
"46",0.948673
"47",0.77122
"48",0.795985
"49",0.791439
"50",0.926779
"51",0.94409
"52",0.900731
"53",0.885582
"54",0.98724
"55",0.805875
"56",0.952048
"57",0.892409
"58",0.976672
"59",0.955688
"60",0.627731
"61",0.796782
"62",0.832423
"63",0.901362
"64",0.645764
"65",0.871116
"66",0.888501
"67",0.786713
"68",0.927437
"69",0.8805
"70",0.917555
"71",0.751452
"72",0.960342
"73",0.769477
"74",0.883761
"75",0.767572
"76",0.908392
"77",0.730668
"78",0.904963
"79",0.754848
"80",0.906186
"81",0.860729
"82",0.758496
"83",0.898355
"84",0.871193
"85",0.898222
"86",0.915508
"87",0.706457
"88",0.820408
"89",0.800823
"90",0.950914
"91",0.941711
"92",0.98254
"93",0.918771
"94",0.925342
"95",0.783416
"96",0.946045
"97",0.810041
"98",0.781119
"99",0.984101
"100",0.948564
"101",0.948244
"102",0.911171
"103",0.615522
"104",0.79093
"105",0.956455
"106",0.992901
"107",0.973084
"108",0.985457
"109",0.969259
"110",0.952837
"111",0.902842
"112",0.885833
"113",0.970363
"114",0.943537
"115",0.830457
"116",0.931973
"117",0.985001
"118",0.83623
"119",0.950569
"120",0.919005
"121",0.923763
"122",0.844922
"123",0.989525
"124",0.970297
"125",0.847429
"126",0.974082
"127",0.953137
"128",0.834042
"129",0.923243
"130",0.941488
"131",0.9576
"132",0.656069
"133",0.980205
"134",0.633337
"135",0.771696
"136",0.765482
"137",0.727026
"138",0.693818
"139",0.78817
"140",0.895802
"141",0.926041
"142",0.927788
"143",0.6771
"144",0.941967
"145",0.870793
"146",0.765654
"147",0.899967
"148",0.918244
"149",0.606008
"150",0.968728
"151",0.798938
"152",0.944445
"153",0.888134
"154",0.973765
"155",0.934676
"156",0.804821
"157",0.970286
"158",0.739699
"159",0.94766
"160",0.689699
"161",0.651332
"162",0.856197
"163",0.819995
"164",0.933996
"165",0.864223
"166",0.590626
"167",0.933704
"168",0.980034
"169",0.969172
"170",0.858458
"171",0.954068
"172",0.987427
"173",0.958252
"174",0.805875
"175",0.854249
"176",0.944237
"177",0.904963
"178",0.851756
"179",0.845614
"180",0.959705
"181",0.822459
"182",0.948026
"183",0.971763
"184",0.872399
"185",0.878933
"186",0.959663
"187",0.95544
"188",0.957831
"189",0.605851
"190",0.905113
"191",0.92668
"192",0.958602
"193",0.944331
"194",0.973316
"195",0.899548
"196",0.961487
"197",0.954226
"198",0.680645
"199",0.995314
"200",0.953031
"201",0.850202
"202",0.813198
"203",0.812883
"204",0.78542
"205",0.98929
"206",0.844356
"207",0.933371
"208",0.931974
"209",0.812735
"210",0.977687
"211",0.960947
"212",0.918844
"213",0.642474
"214",0.887569
"215",0.982237
"216",0.949011
"217",0.891821
"218",0.962973
"219",0.967301
"220",0.720492
"221",0.97835
"222",0.786466
"223",0.907906
"224",0.939283
"225",0.775938
"226",0.915253
"227",0.96486
"228",0.98072
"229",0.948559
"230",0.731237
"231",0.935704
"232",0.961152
"233",0.635048
"234",0.886045
"235",0.847143
"236",0.683611
"237",0.955676
"238",0.919154
"239",0.894273
"240",0.946342
"241",0.620418
"242",0.878601
"243",0.969345
"244",0.801093
"245",0.941351
"246",0.932369
"247",0.954407
"248",0.972573
"249",0.977756
"250",0.930695
"251",0.986361
"252",0.984339
"253",0.657526
"254",0.83564
"255",0.984871
"256",0.854995
"257",0.855858
"258",0.918049
"259",0.743437
"260",0.823491
"261",0.971699
"262",0.942808
"263",0.684829
"264",0.977144
"265",0.819082
"266",0.955519
"267",0.964771
"268",0.861258
"269",0.913868
"270",0.938466
"271",0.839938
"272",0.79868
"273",0.946931
"274",0.769426
"275",0.692475
"276",0.943987
"277",0.904021
"278",0.990502
"279",0.758147
"280",0.977923
"281",0.941488
"282",0.969493
"283",0.848316
"284",0.95781
"285",0.802058
