"","x","y"
"1",3.57497,0.973461
"2",8.56091,2.09701
"3",0.766985,5.91461
"4",10.178,4.5176
"5",4.87774,9.92021
"6",9.19181,10.2569
"7",6.11627,4.26082
"8",0.696531,3.95661
"9",2.37481,2.83693
"10",3.38794,3.01311
"11",2.14191,11.3192
"12",4.48944,1.69589
"13",9.01929,3.81865
"14",0.781221,1.09227
"15",9.04237,9.71066
"16",11.3437,3.86034
"17",5.31617,10.3668
"18",8.35286,3.178
"19",7.58218,0.782066
"20",0.882332,10.0962
"21",2.98471,5.75591
"22",4.24897,8.49642
"23",4.58075,4.89341
"24",1.81285,11.2711
"25",4.15876,1.86964
"26",8.32552,4.31804
"27",6.473,4.00798
"28",1.8913,1.85114
"29",5.05741,8.60364
"30",7.85405,9.34733
"31",4.82769,0.839068
"32",5.92586,9.19119
"33",4.16172,6.89375
"34",10.2173,1.35805
"35",8.12218,8.94294
"36",4.49492,1.56171
"37",9.40263,3.08674
"38",6.9537,9.39738
"39",5.32596,5.07663
"40",9.9821,9.6605
"41",3.19169,11.1356
"42",1.42019,0.61406
"43",8.871,7.51828
"44",5.27181,5.16315
"45",1.97078,8.78567
"46",9.01561,1.22331
"47",8.08972,7.79035
"48",3.97072,1.01938
"49",1.80494,9.91381
"50",5.29554,6.18019
"51",2.12622,7.14386
"52",6.83848,2.2782
"53",7.82545,9.0281
"54",4.63129,4.7007
"55",9.84158,9.5124
"56",0.98996,5.82442
"57",3.63386,9.53861
"58",6.02777,9.3252
"59",2.06133,11.0674
"60",1.88649,1.61102
"61",10.8811,3.8332
"62",6.2476,7.38849
"63",3.0441,4.37442
"64",5.97154,7.51333
"65",7.46576,8.22798
"66",8.08496,2.83069
"67",1.07348,11.1377
"68",6.52843,3.21315
"69",4.35519,1.8112
"70",9.55242,7.11838
"71",5.03161,7.80164
"72",5.64867,5.44138
"73",11.2672,6.24332
"74",4.72647,11.1162
"75",3.06297,8.83976
"76",4.27787,2.63186
"77",3.77921,8.62485
"78",6.33803,6.3881
"79",4.06086,6.86759
"80",0.600021,6.39163
"81",4.93998,11.3743
"82",4.07801,2.80688
"83",3.97262,11.165
"84",4.67184,10.9369
"85",2.63214,3.12282
"86",5.42648,4.91056
"87",3.95667,3.74488
"88",10.2065,8.10378
"89",0.789538,10.1977
"90",8.86805,6.67374
"91",9.14303,4.90559
"92",9.93189,8.45622
"93",7.97025,11.0988
"94",10.2813,1.01631
"95",7.75368,0.807233
"96",10.3717,11.087
"97",1.41219,9.907
"98",11.2554,6.37176
"99",1.04758,9.19427
"100",7.99194,11.3635
"101",5.9642,9.96258
"102",4.89167,9.21707
"103",2.38703,1.03064
"104",2.60456,10.0499
"105",3.40867,10.9812
"106",1.88683,6.53445
"107",10.2687,9.1742
"108",10.8751,10.5383
"109",4.31299,9.30212
"110",5.83723,0.961877
"111",5.55557,5.54661
"112",5.72988,2.76771
"113",7.07771,11.1679
"114",3.91629,8.33123
"115",9.05565,11.0758
"116",5.41942,1.4954
"117",4.61369,4.44767
"118",7.40113,5.04061
"119",1.67147,8.66159
"120",1.59686,4.08898
"121",4.13358,7.26373
"122",0.57886,7.13357
"123",10.1202,8.31135
"124",10.0885,4.83061
"125",6.49263,4.67797
"126",6.07132,10.9564
"127",3.91279,10.174
"128",8.85552,10.0918
"129",6.50754,2.25917
"130",6.87558,9.58199
"131",3.23738,11.2837
"132",0.694389,3.7873
"133",0.842717,8.75071
"134",0.779462,3.49963
"135",10.2527,8.14472
"136",11.0372,6.09887
"137",4.76026,3.08102
"138",4.89847,0.807541
"139",11.3451,3.72429
"140",2.76205,6.33806
"141",6.16754,2.26505
"142",4.60612,11.2761
"143",7.5004,4.64908
"144",1.77777,10.9276
"145",9.3119,2.94825
"146",2.96438,8.75424
"147",6.34875,8.33523
"148",9.47445,7.19358
"149",1.66111,0.627608
"150",2.73694,2.77436
"151",10.3652,2.84601
"152",7.94097,11.1611
"153",2.9595,6.19259
"154",3.02945,10.4082
"155",11.217,0.677174
"156",3.97471,0.78076
"157",8.2928,2.23603
"158",3.54181,1.70393
"159",8.60362,0.890453
"160",0.693182,7.93556
"161",11.3697,9.55499
"162",8.22662,9.76121
"163",10.3243,11.1198
"164",6.86013,10.2513
"165",7.25567,1.98425
"166",2.39706,1.12721
"167",2.58671,4.15381
"168",11.1938,11.1962
"169",1.79342,2.04019
"170",8.78649,9.89842
"171",3.81009,2.80804
"172",6.17999,0.707541
"173",0.643358,4.90234
"174",10.0366,9.31004
"175",7.6086,8.49543
"176",6.59173,3.25334
"177",6.57006,6.60103
"178",7.64425,5.20385
"179",6.69415,5.11117
"180",1.76761,8.47237
"181",8.65088,10.854
"182",3.46613,0.846161
"183",1.81834,8.61327
"184",7.83385,8.20014
"185",10.3701,2.68668
"186",3.71495,3.57604
"187",3.88294,7.387
"188",8.19119,3.49662
