"","VAR1","VAR2"
"1",0.255794,0.879695
"2",0.680117,0.787709
"3",0.130252,0.518636
"4",0.792715,0.66277
"5",0.407085,0.214677
"6",0.741033,0.181236
"7",0.530332,0.650557
"8",0.165741,0.639182
"9",0.181679,0.746303
"10",0.321159,0.67402
"11",0.23458,0.116069
"12",0.360467,0.767333
"13",0.722576,0.643016
"14",0.133208,0.869018
"15",0.741033,0.181236
"16",0.852992,0.657403
"17",0.460752,0.125304
"18",0.735164,0.671048
"19",0.66119,0.880611
"20",0.123026,0.19793
"21",0.309263,0.569365
"22",0.3846,0.332169
"23",0.351774,0.635679
"24",0.23458,0.116069
"25",0.360467,0.767333
"26",0.722576,0.643016
"27",0.530332,0.650557
"28",0.21565,0.773472
"29",0.453673,0.315105
"30",0.652381,0.240156
"31",0.351192,0.886127
"32",0.453673,0.315105
"33",0.401368,0.490746
"34",0.815088,0.902021
"35",0.651087,0.332979
"36",0.351192,0.886127
"37",0.81224,0.700205
"38",0.526715,0.192388
"39",0.440807,0.569361
"40",0.777129,0.222499
"41",0.307777,0.160778
"42",0.133208,0.869018
"43",0.722578,0.4007
"44",0.440807,0.569361
"45",0.244519,0.257814
"46",0.668776,0.895591
"47",0.641642,0.408674
"48",0.351192,0.886127
"49",0.246843,0.185141
"50",0.430739,0.429271
"51",0.185996,0.358873
"52",0.503641,0.780399
"53",0.651087,0.332979
"54",0.351774,0.635679
"55",0.777129,0.222499
"56",0.130252,0.518636
"57",0.28724,0.239884
"58",0.526715,0.192388
"59",0.23458,0.116069
"60",0.168098,0.847195
"61",0.852992,0.657403
"62",0.569249,0.339874
"63",0.271438,0.631785
"64",0.418702,0.352449
"65",0.651087,0.332979
"66",0.664799,0.701408
"67",0.118112,0.109864
"68",0.562308,0.734788
"69",0.360467,0.767333
"70",0.767351,0.334732
"71",0.418702,0.352449
"72",0.440807,0.569361
"73",0.891551,0.454231
"74",0.405418,0.156314
"75",0.296146,0.309881
"76",0.360467,0.767333
"77",0.296146,0.309881
"78",0.582581,0.478362
"79",0.401368,0.490746
"80",0.112954,0.46513
"81",0.460752,0.125304
"82",0.341556,0.747194
"83",0.405418,0.156314
"84",0.405418,0.156314
"85",0.181679,0.746303
"86",0.440807,0.569361
"87",0.341556,0.747194
"88",0.767351,0.334732
"89",0.123026,0.19793
"90",0.696633,0.438633
"91",0.722576,0.643016
"92",0.779083,0.270665
"93",0.640277,0.164694
"94",0.815088,0.902021
"95",0.66119,0.880611
"96",0.881067,0.117601
"97",0.123026,0.19793
"98",0.891551,0.454231
"99",0.0904502,0.297051
"100",0.640277,0.164694
"101",0.470877,0.245408
"102",0.3846,0.332169
"103",0.168098,0.847195
"104",0.246843,0.185141
"105",0.307777,0.160778
"106",0.200519,0.422595
"107",0.779083,0.270665
"108",0.881067,0.117601
"109",0.407085,0.214677
"110",0.464011,0.89015
"111",0.440807,0.569361
"112",0.432912,0.674343
"113",0.566341,0.130473
"114",0.3846,0.332169
"115",0.67497,0.157896
"116",0.464011,0.89015
"117",0.351774,0.635679
"118",0.647151,0.532183
"119",0.244519,0.257814
"120",0.165741,0.639182
"121",0.377923,0.401644
"122",0.14926,0.357456
"123",0.779083,0.270665
"124",0.792715,0.66277
"125",0.530332,0.650557
"126",0.566341,0.130473
"127",0.407085,0.214677
"128",0.741033,0.181236
"129",0.503641,0.780399
"130",0.526715,0.192388
"131",0.307777,0.160778
"132",0.165003,0.696644
"133",0.0904502,0.297051
"134",0.165003,0.696644
"135",0.767351,0.334732
"136",0.891551,0.454231
"137",0.341556,0.747194
"138",0.351192,0.886127
"139",0.904425,0.7196
"140",0.298844,0.458548
"141",0.503641,0.780399
"142",0.405418,0.156314
"143",0.652984,0.661625
"144",0.23458,0.116069
"145",0.81224,0.700205
"146",0.296146,0.309881
"147",0.56952,0.309208
"148",0.767351,0.334732
"149",0.168098,0.847195
"150",0.321159,0.67402
"151",0.904425,0.7196
