"","VAR1","VAR2"
"1",0.527324,0.912348
"2",0.553164,0.699557
"3",0.284044,0.796635
"4",0.786587,0.697239
"5",0.333911,0.427193
"6",0.885457,0.404617
"7",0.791561,0.540861
"8",0.396119,0.510735
"9",0.453607,0.793418
"10",0.261803,0.763405
"11",0.225403,0.0340259
"12",0.163082,0.803023
"13",0.801597,0.765098
"14",0.260526,1.13474
"15",0.885457,0.404617
"16",1.01175,0.832342
"17",0.445769,0.0897807
"18",0.784256,0.764532
"19",0.365835,0.97361
"20",0.00886687,0.39717
"21",0.56196,0.406948
"22",0.525744,0.394599
"23",0.445624,0.572138
"24",0.225403,0.0340259
"25",0.163082,0.803023
"26",0.801597,0.765098
"27",0.791561,0.540861
"28",0.312537,0.858562
"29",0.580838,0.160468
"30",0.525451,0.409144
"31",0.0688441,0.887807
"32",0.580838,0.160468
"33",0.280234,0.746998
"34",0.91743,0.689796
"35",0.715201,0.54019
"36",0.0688441,0.887807
"37",1.01692,0.591094
"38",0.465186,0.446078
"39",0.565316,0.531666
"40",0.478054,0.461635
"41",0.184436,0.242313
"42",0.260526,1.13474
"43",0.733483,0.690551
"44",0.565316,0.531666
"45",0.270554,0.185391
"46",0.514147,0.793279
"47",0.42453,0.636096
"48",0.0688441,0.887807
"49",0.426495,-0.0490736
"50",0.509506,0.33677
"51",0.306966,0.541568
"52",0.558303,0.580199
"53",0.715201,0.54019
"54",0.445624,0.572138
"55",0.478054,0.461635
"56",0.284044,0.796635
"57",0.156468,0.103309
"58",0.465186,0.446078
"59",0.225403,0.0340259
"60",-0.075374,1.04195
"61",1.01175,0.832342
"62",0.833266,0.437389
"63",0.528308,0.710366
"64",0.134623,0.0930189
"65",0.715201,0.54019
"66",0.508461,0.929001
"67",-0.0397597,0.162847
"68",0.725525,0.597337
"69",0.163082,0.803023
"70",0.623436,0.595351
"71",0.134623,0.0930189
"72",0.565316,0.531666
"73",1.04912,0.742775
"74",0.160218,0.271806
"75",0.0854586,0.537086
"76",0.163082,0.803023
"77",0.0854586,0.537086
"78",0.819308,0.273971
"79",0.280234,0.746998
"80",0.00936294,0.482503
"81",0.445769,0.0897807
"82",0.549356,1.01374
"83",0.160218,0.271806
"84",0.160218,0.271806
"85",0.453607,0.793418
"86",0.565316,0.531666
"87",0.549356,1.01374
"88",0.623436,0.595351
"89",0.00886687,0.39717
"90",0.714425,0.315142
"91",0.801597,0.765098
"92",0.631272,0.314697
"93",0.668784,0.380265
"94",0.91743,0.689796
"95",0.365835,0.97361
"96",0.849462,0.30617
"97",0.00886687,0.39717
"98",1.04912,0.742775
"99",0.359215,0.272632
"100",0.668784,0.380265
"101",0.531916,0.13702
"102",0.525744,0.394599
"103",-0.075374,1.04195
"104",0.426495,-0.0490736
"105",0.184436,0.242313
"106",0.189046,0.565773
"107",0.631272,0.314697
"108",0.849462,0.30617
"109",0.333911,0.427193
"110",0.544188,0.632345
"111",0.565316,0.531666
"112",0.691175,0.721713
"113",0.566136,0.14517
"114",0.525744,0.394599
"115",0.877502,0.336024
"116",0.544188,0.632345
"117",0.445624,0.572138
"118",0.757627,0.2426
"119",0.270554,0.185391
"120",0.396119,0.510735
"121",0.461637,0.231415
"122",-0.0595513,0.624956
"123",0.631272,0.314697
"124",0.786587,0.697239
"125",0.791561,0.540861
"126",0.566136,0.14517
"127",0.333911,0.427193
"128",0.885457,0.404617
"129",0.558303,0.580199
"130",0.465186,0.446078
"131",0.184436,0.242313
"132",-0.103473,0.936777
"133",0.359215,0.272632
"134",-0.103473,0.936777
"135",0.623436,0.595351
"136",1.04912,0.742775
"137",0.549356,1.01374
"138",0.0688441,0.887807
"139",0.80205,1.00992
"140",0.567887,0.407047
"141",0.558303,0.580199
"142",0.160218,0.271806
"143",0.917731,0.905239
"144",0.225403,0.0340259
"145",1.01692,0.591094
"146",0.0854586,0.537086
"147",0.704457,0.225617
"148",0.623436,0.595351
"149",-0.075374,1.04195
"150",0.261803,0.763405
"151",0.80205,1.00992
"152",0.668784,0.380265
"153",0.567887,0.407047
"154",0.184436,0.242313
"155",0.892952,0.898741
"156",0.0688441,0.887807
"157",0.553164,0.699557
"158",0.368809,1.07299
"159",0.514147,0.793279
"160",-0.0595513,0.624956
"161",1.20002,0.440577
"162",0.885457,0.404617
"163",0.977484,0.126947
"164",0.465186,0.446078
"165",0.681611,0.567753
"166",-0.075374,1.04195
"167",0.177761,0.520343
"168",0.849462,0.30617
"169",0.312537,0.858562
"170",0.885457,0.404617
"171",0.261803,0.763405
"172",0.574805,0.808861
"173",0.396119,0.510735
"174",0.478054,0.461635
"175",0.715201,0.54019
"176",0.725525,0.597337
"177",0.819308,0.273971
"178",0.757627,0.2426
"179",0.492834,0.218525
"180",0.270554,0.185391
"181",0.877502,0.336024
"182",0.527324,0.912348
"183",0.270554,0.185391
"184",0.715201,0.54019
"185",0.645449,0.901383
"186",0.261803,0.763405
"187",0.461637,0.231415
"188",0.784256,0.764532
"189",0.134623,0.0930189
"190",0.156468,0.103309
"191",0.91743,0.689796
"192",0.594116,0.358315
"193",0.704457,0.225617
"194",0.509506,0.33677
"195",0.528308,0.710366
"196",0.784256,0.764532
"197",0.184436,0.242313
"198",-0.0595513,0.624956
"199",0.806893,0.382403
"200",0.225403,0.0340259
"201",0.819418,0.316599
"202",0.819418,0.316599
"203",0.977484,0.126947
"204",0.134623,0.0930189
"205",0.806893,0.382403
"206",0.645449,0.901383
"207",0.623436,0.595351
"208",0.527324,0.912348
"209",0.0688441,0.887807
"210",0.445624,0.572138
"211",0.91743,0.689796
"212",0.528308,0.710366
"213",0.917731,0.905239
"214",0.508461,0.929001
"215",0.849462,0.30617
"216",0.388109,0.585413
"217",0.453607,0.793418
"218",0.525451,0.409144
"219",0.333911,0.427193
"220",0.368809,1.07299
"221",0.177761,0.520343
"222",0.426495,-0.0490736
"223",0.819308,0.273971
"224",0.306966,0.541568
"225",-0.0397597,0.162847
"226",0.528308,0.710366
"227",0.184436,0.242313
"228",0.388109,0.585413
"229",0.948742,0.395263
"230",0.549356,1.01374
"231",0.527324,0.912348
"232",0.668784,0.380265
"233",-0.075374,1.04195
"234",0.00936294,0.482503
"235",0.56196,0.406948
"236",0.260526,1.13474
"237",0.566136,0.14517
"238",0.29509,0.879716
"239",0.704457,0.225617
"240",0.514147,0.793279
"241",0.134623,0.0930189
"242",0.531916,0.13702
"243",0.671077,0.482255
"244",0.977484,0.126947
"245",0.725525,0.597337
"246",0.24096,0.773803
"247",0.225403,0.0340259
"248",0.566136,0.14517
"249",0.811705,0.692511
"250",0.725525,0.597337
"251",0.525451,0.409144
"252",0.631272,0.314697
"253",-0.103473,0.936777
"254",0.977484,0.126947
"255",0.786587,0.697239
"256",0.757627,0.2426
"257",0.885457,0.404617
"258",0.465186,0.446078
"259",0.944995,1.04939
"260",0.365835,0.97361
"261",0.668784,0.380265
"262",0.270554,0.185391
"263",1.20002,0.440577
"264",0.445624,0.572138
"265",0.0688441,0.887807
"266",0.594116,0.358315
"267",0.594116,0.358315
"268",0.508461,0.929001
"269",0.531916,0.13702
"270",0.186187,0.464835
"271",0.877502,0.336024
"272",0.00886687,0.39717
"273",0.565316,0.531666
"274",0.368809,1.07299
"275",1.20002,0.440577
"276",0.668784,0.380265
"277",0.528308,0.710366
"278",0.270554,0.185391
"279",0.56196,0.406948
"280",0.359215,0.272632
"281",0.465186,0.446078
"282",0.553164,0.699557
"283",0.819418,0.316599
"284",0.514147,0.793279
"285",0.426495,-0.0490736
"286",0.333911,0.427193
"287",0.177761,0.520343
"288",0.91743,0.689796
"289",-0.0595513,0.624956
"290",0.580838,0.160468
"291",1.12726,0.192309
"292",1.04912,0.742775
"293",0.492834,0.218525
"294",0.465186,0.446078
"295",0.681611,0.567753
"296",0.24096,0.773803
"297",0.365835,0.97361
"298",0.186187,0.464835
"299",0.312537,0.858562
"300",0.725525,0.597337
"301",0.733483,0.690551
"302",0.80205,1.00992
"303",0.704457,0.225617
"304",0.811705,0.692511
"305",0.645449,0.901383
"306",0.877502,0.336024
"307",0.00936294,0.482503
"308",0.00886687,0.39717
"309",0.177761,0.520343
"310",0.580838,0.160468
"311",0.12527,0.439686
"312",0.733483,0.690551
"313",-0.075374,1.04195
"314",0.553164,0.699557
"315",1.01175,0.832342
"316",0.917731,0.905239
"317",0.492834,0.218525
"318",0.877502,0.336024
"319",0.396119,0.510735
"320",-0.0397597,0.162847
"321",1.12726,0.192309
"322",0.12527,0.439686
"323",0.671077,0.482255
"324",0.396119,0.510735
"325",0.445624,0.572138
"326",0.806893,0.382403
"327",1.01723,0.262856
"328",0.527324,0.912348
"329",0.977484,0.126947
"330",0.56196,0.406948
"331",0.365835,0.97361
"332",0.566136,0.14517
"333",0.566136,0.14517
"334",0.134623,0.0930189
"335",0.00936294,0.482503
"336",0.359215,0.272632
"337",0.186187,0.464835
"338",0.186187,0.464835
"339",0.733483,0.690551
"340",0.757627,0.2426
"341",0.580838,0.160468
"342",0.426495,-0.0490736
"343",0.261803,0.763405
"344",0.714425,0.315142
"345",0.359215,0.272632
"346",0.544188,0.632345
"347",0.849462,0.30617
"348",0.671077,0.482255
"349",0.306966,0.541568
"350",0.80205,1.00992
"351",0.948742,0.395263
"352",0.514147,0.793279
"353",0.525744,0.394599
"354",0.671077,0.482255
"355",0.312537,0.858562
"356",-0.103473,0.936777
"357",0.567887,0.407047
"358",0.681611,0.567753
"359",0.811705,0.692511
"360",0.725525,0.597337
"361",0.525744,0.394599
"362",1.01692,0.591094
"363",0.492834,0.218525
"364",1.01692,0.591094
"365",0.0854586,0.537086
"366",0.819418,0.316599
"367",0.184436,0.242313
"368",0.544188,0.632345
"369",0.42453,0.636096
"370",0.189046,0.565773
"371",0.80205,1.00992
"372",0.306966,0.541568
"373",0.757627,0.2426
"374",0.580838,0.160468
"375",0.396119,0.510735
"376",0.80205,1.00992
"377",0.574805,0.808861
"378",0.833266,0.437389
"379",0.508461,0.929001
"380",0.645449,0.901383
"381",0.312537,0.858562
"382",0.24096,0.773803
"383",0.91743,0.689796
"384",1.20002,0.440577
"385",0.492834,0.218525
"386",0.00886687,0.39717
"387",0.819308,0.273971
"388",-0.103473,0.936777
"389",0.00936294,0.482503
"390",0.29509,0.879716
"391",0.811705,0.692511
"392",0.704457,0.225617
"393",0.42453,0.636096
"394",0.819308,0.273971
"395",0.668784,0.380265
"396",0.977484,0.126947
"397",-0.075374,1.04195
"398",0.156468,0.103309
"399",0.426495,-0.0490736
"400",0.189046,0.565773
"401",0.270554,0.185391
"402",0.465186,0.446078
"403",0.177761,0.520343
"404",0.396119,0.510735
"405",0.396119,0.510735
"406",1.12726,0.192309
"407",0.819418,0.316599
"408",0.691175,0.721713
"409",0.00886687,0.39717
"410",0.478054,0.461635
"411",0.160218,0.271806
"412",0.531916,0.13702
"413",-0.0595513,0.624956
"414",0.163082,0.803023
"415",0.156468,0.103309
"416",0.184436,0.242313
"417",1.12726,0.192309
"418",0.260526,1.13474
"419",0.00886687,0.39717
"420",0.525744,0.394599
"421",1.04912,0.742775
"422",0.333911,0.427193
"423",0.574805,0.808861
"424",0.553164,0.699557
"425",0.567887,0.407047
"426",0.819418,0.316599
"427",0.553164,0.699557
"428",0.833266,0.437389
