"","V1"
"1",0.854197
"2",0.83038
"3",0.944384
"4",0.954121
"5",0.805367
"6",0.934236
"7",0.794942
"8",0.941759
"9",0.883292
"10",0.786659
"11",0.93163
"12",0.75936
"13",0.946106
"14",0.954121
"15",0.901596
"16",0.81585
"17",0.990054
"18",0.74355
"19",0.843235
"20",0.972281
"21",0.949579
"22",0.98834
"23",0.836725
"24",0.945186
"25",0.8888
"26",0.978366
"27",0.889116
"28",0.871511
"29",0.890729
"30",0.939358
"31",0.861942
"32",0.928974
"33",0.864958
"34",0.876559
"35",0.800296
"36",0.928025
"37",0.982635
"38",0.972281
"39",0.949762
"40",0.877409
"41",0.966249
"42",0.834748
"43",0.863255
"44",0.690103
"45",0.885874
"46",0.991244
"47",0.800227
"48",0.779955
"49",0.95119
"50",0.869604
"51",0.816929
"52",0.89355
"53",0.690103
"54",0.99024
"55",0.771674
"56",0.952083
"57",0.930105
"58",0.706804
"59",0.980355
"60",0.900301
"61",0.979047
"62",0.969676
"63",0.967805
"64",0.850144
"65",0.977358
"66",0.966249
"67",0.943836
"68",0.934993
"69",0.824292
"70",0.98015
"71",0.667951
"72",0.796747
"73",0.903573
"74",0.918187
"75",0.879221
"76",0.814
"77",0.864083
"78",0.954121
"79",0.890729
"80",0.92063
"81",0.931579
"82",0.885535
"83",0.949921
"84",0.836725
"85",0.956955
"86",0.81585
"87",0.984174
"88",0.889116
"89",0.786659
"90",0.833433
"91",0.697129
"92",0.898372
"93",0.949592
"94",0.883647
"95",0.949579
"96",0.863255
"97",0.969555
"98",0.87436
"99",0.791228
"100",0.992885
"101",0.963175
"102",0.750849
"103",0.896081
"104",0.842954
"105",0.938132
"106",0.92276
"107",0.760596
"108",0.746379
"109",0.922887
"110",0.708784
"111",0.977707
"112",0.857167
"113",0.990837
"114",0.821172
"115",0.92976
"116",0.912585
"117",0.924596
"118",0.945404
"119",0.924849
"120",0.777215
"121",0.98663
"122",0.876145
"123",0.893216
"124",0.949062
"125",0.799079
"126",0.970403
"127",0.810101
"128",0.963175
"129",0.904744
"130",0.710247
"131",0.903886
"132",0.877932
"133",0.685093
"134",0.869163
"135",0.893926
"136",0.966249
"137",0.956309
"138",0.96607
"139",0.997634
"140",0.91473
"141",0.902633
"142",0.985102
"143",0.981271
"144",0.864958
"145",0.958164
"146",0.958455
"147",0.906339
"148",0.952083
"149",0.821501
"150",0.922887
"151",0.972936
"152",0.990134
"153",0.747291
"154",0.827438
"155",0.733762
"156",0.99119
"157",0.963888
"158",0.865066
"159",0.85371
"160",0.968903
"161",0.977707
"162",0.824292
"163",0.865356
"164",0.861819
"165",0.839203
"166",0.920113
"167",0.936038
"168",0.938191
"169",0.914152
"170",0.978209
"171",0.849598
"172",0.977618
"173",0.892913
"174",0.972203
"175",0.697984
"176",0.77572
"177",0.870512
"178",0.837771
"179",0.945236
"180",0.985236
"181",0.861942
"182",0.897634
"183",0.972579
"184",0.87852
"185",0.965232
"186",0.896081
"187",0.825672
"188",0.992033
"189",0.922335
"190",0.995409
"191",0.928974
"192",0.754725
"193",0.941759
"194",0.885874
"195",0.586163
"196",0.949216
"197",0.914371
"198",0.853372
"199",0.8694
"200",0.976439
"201",0.85371
"202",0.977707
"203",0.963798
"204",0.756815
"205",0.954121
"206",0.885178
"207",0.907044
"208",0.691212
"209",0.972726
"210",0.977707
"211",0.926782
"212",0.983844
"213",0.952276
"214",0.864958
"215",0.971823
"216",0.743951
"217",0.785084
"218",0.829792
"219",0.899928
"220",0.669294
"221",0.933953
"222",0.575785
"223",0.958164
"224",0.945984
"225",0.854018
"226",0.825337
"227",0.933194
"228",0.843858
"229",0.893795
"230",0.844608
"231",0.967821
"232",0.931468
"233",0.670937
"234",0.958468
"235",0.910621
"236",0.974846
"237",0.98663
"238",0.986337
"239",0.858882
"240",0.901534
"241",0.93422
"242",0.90101
"243",0.977251
"244",0.87989
"245",0.941759
"246",0.941451
"247",0.933953
"248",0.940589
"249",0.773451
"250",0.827545
"251",0.862071
"252",0.753058
"253",0.802493
"254",0.954121
"255",0.858744
"256",0.808838
"257",0.927264
"258",0.841696
"259",0.80087
"260",0.662317
"261",0.941759
"262",0.835394
"263",0.9326
"264",0.811105
"265",0.974508
"266",0.885535
"267",0.823084
"268",0.961123
"269",0.944471
"270",0.846862
"271",0.962943
"272",0.792105
"273",0.933953
"274",0.866211
"275",0.944323
"276",0.97713
"277",0.921142
"278",0.837931
"279",0.830117
"280",0.899218
"281",0.730393
"282",0.969555
"283",0.697572
"284",0.963888
"285",0.756192
"286",0.858744
"287",0.991056
"288",0.943697
"289",0.865509
"290",0.919542
"291",0.883647
"292",0.967805
"293",0.981628
"294",0.928305
"295",0.825337
"296",0.926635
"297",0.976726
"298",0.952933
"299",0.92796
"300",0.841696
"301",0.792553
"302",0.892934
"303",0.950293
"304",0.837153
"305",0.990134
"306",0.960373
"307",0.930105
"308",0.957383
"309",0.816929
"310",0.906565
"311",0.931279
"312",0.940202
"313",0.928974
"314",0.938663
"315",0.825337
"316",0.975961
"317",0.897421
"318",0.864958
"319",0.940689
"320",0.897304
"321",0.786369
"322",0.924392
"323",0.890564
"324",0.946172
"325",0.934993
"326",0.84304
"327",0.910683
"328",0.97713
"329",0.84304
"330",0.985348
"331",0.826065
"332",0.939514
"333",0.843858
"334",0.96305
"335",0.883792
"336",0.969493
"337",0.788016
"338",0.985529
"339",0.806462
"340",0.697872
"341",0.729253
"342",0.890519
"343",0.896155
"344",0.931279
"345",0.935098
"346",0.875277
"347",0.890729
"348",0.87845
