"","VAR1","VAR2"
"1",0.130252,0.518636
"2",0.360467,0.767333
"3",0.460752,0.125304
"4",0.118112,0.109864
"5",0.123026,0.19793
"6",0.702709,0.543623
"7",0.779083,0.270665
"8",0.852992,0.657403
"9",0.569249,0.339874
"10",0.651087,0.332979
"11",0.200519,0.422595
"12",0.139495,0.978301
"13",0.74155,0.292581
"14",0.118112,0.109864
"15",0.3846,0.332169
"16",0.852992,0.657403
"17",0.23458,0.116069
"18",0.165003,0.696644
"19",0.432912,0.674343
"20",0.23458,0.116069
"21",0.105893,0.813407
"22",0.617036,0.457814
"23",0.405418,0.156314
"24",0.74155,0.292581
"25",0.360467,0.767333
"26",0.440807,0.569361
"27",0.133208,0.869018
"28",0.891551,0.454231
"29",0.165741,0.639182
"30",0.696633,0.438633
"31",0.165741,0.639182
"32",0.795721,0.12592
"33",0.130252,0.518636
"34",0.401368,0.490746
"35",0.659867,0.809398
"36",0.432912,0.674343
"37",0.440528,0.635949
"38",0.23458,0.116069
"39",0.112954,0.46513
"40",0.309263,0.569365
"41",0.377923,0.401644
"42",0.407085,0.214677
"43",0.246843,0.185141
"44",0.828855,0.440721
"45",0.244519,0.257814
"46",0.566341,0.130473
"47",0.271438,0.631785
"48",0.815088,0.902021
"49",0.664799,0.701408
"50",0.904425,0.7196
"51",0.298844,0.458548
"52",0.440528,0.635949
"53",0.828855,0.440721
"54",0.440807,0.569361
"55",0.424156,0.808285
"56",0.307777,0.160778
"57",0.722576,0.643016
"58",0.828855,0.440721
"59",0.351774,0.635679
"60",0.664799,0.701408
"61",0.668776,0.895591
"62",0.105893,0.813407
"63",0.430739,0.429271
"64",0.891551,0.454231
"65",0.860013,0.337144
"66",0.377923,0.401644
"67",0.503641,0.780399
"68",0.307777,0.160778
"69",0.123026,0.19793
"70",0.886223,0.518463
"71",0.828855,0.440721
"72",0.641642,0.408674
"73",0.297722,0.807871
"74",0.432912,0.674343
"75",0.181679,0.746303
"76",0.298844,0.458548
"77",0.181679,0.746303
"78",0.118112,0.109864
"79",0.165741,0.639182
"80",0.562308,0.734788
"81",0.440528,0.635949
"82",0.812117,0.82722
"83",0.460752,0.125304
"84",0.405418,0.156314
"85",0.401368,0.490746
"86",0.852992,0.657403
"87",0.166724,0.517273
"88",0.133208,0.869018
"89",0.651087,0.332979
"90",0.647151,0.532183
"91",0.905413,0.166678
"92",0.309263,0.569365
"93",0.0904502,0.297051
"94",0.530332,0.650557
"95",0.105893,0.813407
"96",0.246843,0.185141
"97",0.870278,0.295027
"98",0.640277,0.164694
"99",0.66119,0.880611
"100",0.792715,0.66277
"101",0.668776,0.895591
"102",0.828855,0.440721
"103",0.351192,0.886127
"104",0.651087,0.332979
"105",0.668776,0.895591
"106",0.530332,0.650557
"107",0.652984,0.661625
"108",0.255794,0.879695
"109",0.275815,0.36188
"110",0.777129,0.222499
"111",0.881067,0.117601
"112",0.255794,0.879695
"113",0.440807,0.569361
"114",0.418702,0.352449
"115",0.668776,0.895591
"116",0.852992,0.657403
"117",0.401368,0.490746
"118",0.275815,0.36188
"119",0.562308,0.734788
"120",0.168098,0.847195
"121",0.795721,0.12592
"122",0.67497,0.157896
"123",0.67497,0.157896
"124",0.275815,0.36188
"125",0.722578,0.4007
"126",0.112954,0.46513
"127",0.297722,0.807871
"128",0.668776,0.895591
"129",0.503641,0.780399
"130",0.777129,0.222499
"131",0.81224,0.700205
"132",0.407085,0.214677
"133",0.296146,0.309881
"134",0.66119,0.880611
"135",0.14926,0.357456
"136",0.377923,0.401644
"137",0.696633,0.438633
"138",0.275815,0.36188
"139",0.219358,0.628497
"140",0.185996,0.358873
"141",0.185996,0.358873
"142",0.792715,0.66277
"143",0.105893,0.813407
"144",0.130252,0.518636
"145",0.470877,0.245408
"146",0.702709,0.543623
"147",0.741033,0.181236
"148",0.307777,0.160778
"149",0.28724,0.239884
"150",0.275815,0.36188
"151",0.881067,0.117601
"152",0.23458,0.116069
"153",0.828855,0.440721
"154",0.526715,0.192388
"155",0.418702,0.352449
"156",0.860013,0.337144
"157",0.861073,0.850795
"158",0.664799,0.701408
"159",0.582581,0.478362
"160",0.464011,0.89015
"161",0.881067,0.117601
"162",0.123026,0.19793
"163",0.81224,0.700205
"164",0.777129,0.222499
"165",0.432912,0.674343
"166",0.244519,0.257814
"167",0.562308,0.734788
"168",0.271438,0.631785
"169",0.722576,0.643016
"170",0.861073,0.850795
"171",0.815088,0.902021
"172",0.321159,0.67402
"173",0.130252,0.518636
"174",0.23458,0.116069
"175",0.905413,0.166678
"176",0.165003,0.696644
"177",0.767351,0.334732
"178",0.530332,0.650557
"179",0.321159,0.67402
"180",0.166724,0.517273
"181",0.165741,0.639182
"182",0.640277,0.164694
"183",0.54989,0.912572
"184",0.859867,0.771846
"185",0.987567,0.281157
"186",0.351192,0.886127
"187",0.652984,0.661625
"188",0.321159,0.67402
"189",0.651087,0.332979
"190",0.566341,0.130473
"191",0.795721,0.12592
"192",0.296146,0.309881
"193",0.852992,0.657403
"194",0.244519,0.257814
"195",0.641642,0.408674
"196",0.432912,0.674343
"197",0.822338,0.563624
"198",0.548224,0.501095
"199",0.722578,0.4007
"200",0.680117,0.787709
"201",0.582581,0.478362
"202",0.881067,0.117601
"203",0.56952,0.309208
"204",0.647151,0.532183
"205",0.118112,0.109864
"206",0.640277,0.164694
"207",0.812117,0.82722
"208",0.339234,0.508016
"209",0.881067,0.117601
"210",0.881067,0.117601
"211",0.818974,0.0754783
"212",0.351774,0.635679
"213",0.21565,0.773472
"214",0.130252,0.518636
"215",0.735164,0.671048
"216",0.905413,0.166678
"217",0.526715,0.192388
"218",0.133208,0.869018
"219",0.822338,0.563624
"220",0.777129,0.222499
"221",0.859867,0.771846
"222",0.905413,0.166678
"223",0.470877,0.245408
"224",0.460752,0.125304
"225",0.640277,0.164694
"226",0.168098,0.847195
"227",0.702709,0.543623
"228",0.181679,0.746303
"229",0.360467,0.767333
"230",0.651087,0.332979
"231",0.886223,0.518463
"232",0.54989,0.912572
"233",0.418702,0.352449
"234",0.859867,0.771846
"235",0.200519,0.422595
"236",0.21565,0.773472
"237",0.795721,0.12592
"238",0.470877,0.245408
"239",0.14926,0.357456
"240",0.255794,0.879695
"241",0.54989,0.912572
"242",0.859867,0.771846
"243",0.56952,0.309208
"244",0.582581,0.478362
"245",0.852992,0.657403
"246",0.470877,0.245408
"247",0.859867,0.771846
"248",0.0904502,0.297051
"249",0.296146,0.309881
"250",0.401368,0.490746
"251",0.652381,0.240156
"252",0.66119,0.880611
"253",0.815088,0.902021
"254",0.118112,0.109864
"255",0.28724,0.239884
"256",0.647151,0.532183
"257",0.668776,0.895591
"258",0.66119,0.880611
"259",0.255794,0.879695
"260",0.905413,0.166678
"261",0.852992,0.657403
"262",0.432912,0.674343
"263",0.309263,0.569365
"264",0.297722,0.807871
"265",0.430739,0.429271
"266",0.812117,0.82722
"267",0.360467,0.767333
"268",0.185996,0.358873
"269",0.130252,0.518636
"270",0.81224,0.700205
"271",0.3846,0.332169
"272",0.453673,0.315105
"273",0.859867,0.771846
"274",0.298844,0.458548
"275",0.271438,0.631785
"276",0.56952,0.309208
"277",0.14926,0.357456
"278",0.582581,0.478362
"279",0.767351,0.334732
"280",0.81224,0.700205
"281",0.405418,0.156314
"282",0.870278,0.295027
"283",0.424156,0.808285
"284",0.861073,0.850795
"285",0.891551,0.454231
"286",0.28724,0.239884
"287",0.00514323,0.374858
"288",0.822338,0.563624
"289",0.815088,0.902021
"290",0.870278,0.295027
"291",0.530332,0.650557
"292",0.430739,0.429271
"293",0.112954,0.46513
"294",0.886223,0.518463
"295",0.168098,0.847195
"296",0.954372,0.539696
"297",0.702709,0.543623
"298",0.680117,0.787709
"299",0.651087,0.332979
"300",0.66119,0.880611
"301",0.722578,0.4007
"302",0.526715,0.192388
"303",0.351774,0.635679
"304",0.526715,0.192388
"305",0.23458,0.116069
"306",0.735164,0.671048
"307",0.722576,0.643016
"308",0.886223,0.518463
"309",0.298844,0.458548
"310",0.0904502,0.297051
"311",0.166724,0.517273
"312",0.377923,0.401644
"313",0.795721,0.12592
"314",0.680117,0.787709
"315",0.168098,0.847195
"316",0.460752,0.125304
"317",0.562308,0.734788
"318",0.130252,0.518636
"319",0.503641,0.780399
"320",0.767351,0.334732
"321",0.28724,0.239884
"322",0.200519,0.422595
"323",0.166724,0.517273
"324",0.440807,0.569361
"325",0.307777,0.160778
"326",0.779083,0.270665
"327",0.309263,0.569365
"328",0.56952,0.309208
"329",0.779083,0.270665
"330",0.566341,0.130473
"331",0.891551,0.454231
"332",0.200519,0.422595
"333",0.181679,0.746303
"334",0.860013,0.337144
"335",0.526715,0.192388
"336",0.56952,0.309208
"337",0.652381,0.240156
"338",0.54989,0.912572
"339",0.418702,0.352449
"340",0.641642,0.408674
"341",0.351192,0.886127
"342",0.815088,0.902021
"343",0.870278,0.295027
"344",0.166724,0.517273
"345",0.659867,0.809398
"346",0.886223,0.518463
"347",0.165741,0.639182
"348",0.859867,0.771846
"349",0.351192,0.886127
"350",0.81224,0.700205
"351",0.424156,0.808285
"352",0.795721,0.12592
"353",0.339234,0.508016
"354",0.860013,0.337144
"355",0.321159,0.67402
"356",0.321159,0.67402
"357",0.870278,0.295027
"358",0.424156,0.808285
"359",0.792715,0.66277
"360",0.886223,0.518463
"361",0.812117,0.82722
"362",0.105893,0.813407
"363",0.652381,0.240156
"364",0.652381,0.240156
"365",0.407085,0.214677
"366",0.440528,0.635949
"367",0.105893,0.813407
"368",0.3846,0.332169
"369",0.779083,0.270665
"370",0.779083,0.270665
"371",0.680117,0.787709
"372",0.652381,0.240156
"373",0.828855,0.440721
"374",0.253436,0.0270627
"375",0.307777,0.160778
"376",0.526715,0.192388
"377",0.741033,0.181236
"378",0.118112,0.109864
"379",0.870278,0.295027
"380",0.779083,0.270665
"381",0.812117,0.82722
"382",0.828855,0.440721
"383",0.664799,0.701408
"384",0.307777,0.160778
"385",0.21565,0.773472
"386",0.641642,0.408674
"387",0.432912,0.674343
"388",0.321159,0.67402
"389",0.905413,0.166678
"390",0.779083,0.270665
"391",0.870278,0.295027
"392",0.275815,0.36188
"393",0.377923,0.401644
"394",0.647151,0.532183
"395",0.526715,0.192388
"396",0.14926,0.357456
"397",0.432912,0.674343
"398",0.652381,0.240156
"399",0.526715,0.192388
"400",0.321159,0.67402
"401",0.886223,0.518463
"402",0.582581,0.478362
"403",0.200519,0.422595
"404",0.351192,0.886127
"405",0.470877,0.245408
"406",0.647151,0.532183
"407",0.166724,0.517273
"408",0.271438,0.631785
"409",0.779083,0.270665
"410",0.702709,0.543623
"411",0.680117,0.787709
"412",0.181679,0.746303
"413",0.130252,0.518636
"414",0.14926,0.357456
"415",0.815088,0.902021
"416",0.777129,0.222499
"417",0.165741,0.639182
"418",0.244519,0.257814
"419",0.271438,0.631785
"420",0.815088,0.902021
"421",0.28724,0.239884
"422",0.23458,0.116069
"423",0.271438,0.631785
"424",0.74155,0.292581
"425",0.66119,0.880611
"426",0.440528,0.635949
"427",0.23458,0.116069
"428",0.112954,0.46513
"429",0.298844,0.458548
"430",0.453673,0.315105
"431",0.503641,0.780399
"432",0.405418,0.156314
"433",0.440807,0.569361
"434",0.28724,0.239884
"435",0.377923,0.401644
"436",0.777129,0.222499
"437",0.246843,0.185141
"438",0.430739,0.429271
"439",0.664799,0.701408
"440",0.407085,0.214677
"441",0.651087,0.332979
"442",0.722578,0.4007
"443",0.905413,0.166678
"444",0.503641,0.780399
"445",0.244519,0.257814
"446",0.321159,0.67402
"447",0.14926,0.357456
"448",0.54989,0.912572
"449",0.702709,0.543623
"450",0.166724,0.517273
"451",0.664799,0.701408
"452",0.21565,0.773472
"453",0.112954,0.46513
"454",0.815088,0.902021
"455",0.81224,0.700205
"456",0.246843,0.185141
"457",0.297722,0.807871
"458",0.859867,0.771846
"459",0.460752,0.125304
"460",0.652984,0.661625
"461",0.904425,0.7196
"462",0.722576,0.643016
"463",0.181679,0.746303
"464",0.405418,0.156314
"465",0.886223,0.518463
"466",0.905413,0.166678
"467",0.668776,0.895591
"468",0.904425,0.7196
"469",0.112954,0.46513
"470",0.23458,0.116069
"471",0.652381,0.240156
"472",0.852992,0.657403
"473",0.470877,0.245408
"474",0.470877,0.245408
"475",0.859867,0.771846
"476",0.640277,0.164694
"477",0.470877,0.245408
"478",0.470877,0.245408
"479",0.405418,0.156314
"480",0.405418,0.156314
"481",0.21565,0.773472
"482",0.377923,0.401644
"483",0.464011,0.89015
"484",0.640277,0.164694
"485",0.640277,0.164694
"486",0.401368,0.490746
"487",0.271438,0.631785
"488",0.815088,0.902021
"489",0.81224,0.700205
"490",0.74155,0.292581
"491",0.722576,0.643016
"492",0.123026,0.19793
"493",0.246843,0.185141
"494",0.652381,0.240156
"495",0.640277,0.164694
"496",0.14926,0.357456
"497",0.861073,0.850795
"498",0.859867,0.771846
"499",0.767351,0.334732
"500",0.641642,0.408674
"501",0.460752,0.125304
"502",0.401368,0.490746
"503",0.651087,0.332979
"504",0.3846,0.332169
"505",0.307777,0.160778
"506",0.647151,0.532183
"507",0.430739,0.429271
"508",0.123026,0.19793
"509",0.886223,0.518463
"510",0.870278,0.295027
"511",0.569249,0.339874
"512",0.339234,0.508016
"513",0.905413,0.166678
"514",0.255794,0.879695
"515",0.105893,0.813407
"516",0.722578,0.4007
"517",0.321159,0.67402
"518",0.828855,0.440721
"519",0.735164,0.671048
"520",0.526715,0.192388
"521",0.526715,0.192388
"522",0.460752,0.125304
"523",0.440528,0.635949
"524",0.28724,0.239884
"525",0.822338,0.563624
"526",0.118112,0.109864
"527",0.792715,0.66277
"528",0.828855,0.440721
"529",0.779083,0.270665
"530",0.722576,0.643016
"531",0.185996,0.358873
"532",0.659867,0.809398
"533",0.702709,0.543623
"534",0.165003,0.696644
"535",0.696633,0.438633
"536",0.66119,0.880611
"537",0.360467,0.767333
"538",0.617036,0.457814
"539",0.881067,0.117601
"540",0.165741,0.639182
"541",0.401368,0.490746
"542",0.255794,0.879695
"543",0.339234,0.508016
"544",0.569249,0.339874
"545",0.297722,0.807871
"546",0.165003,0.696644
"547",0.905413,0.166678
"548",0.275815,0.36188
"549",0.530332,0.650557
"550",0.133208,0.869018
"551",0.722578,0.4007
"552",0.795721,0.12592
"553",0.185996,0.358873
