"","V1"
"1",0.882458
"2",0.732812
"3",0.996243
"4",0.936538
"5",0.830887
"6",0.718138
"7",0.96684
"8",0.898629
"9",0.806189
"10",0.875053
"11",0.872503
"12",0.945672
"13",0.949495
"14",0.965172
"15",0.933433
"16",0.797676
"17",0.824465
"18",0.929513
"19",0.885335
"20",0.95479
"21",0.992064
"22",0.734889
"23",0.931058
"24",0.876471
"25",0.641648
"26",0.980072
"27",0.917408
"28",0.991048
"29",0.82624
"30",0.732088
"31",0.862032
"32",0.777207
"33",0.88224
"34",0.87832
"35",0.859011
"36",0.890133
"37",0.970211
"38",0.834998
"39",0.743594
"40",0.866327
"41",0.963234
"42",0.880869
"43",0.874814
"44",0.751856
"45",0.899569
"46",0.893428
"47",0.905243
"48",0.910746
"49",0.962308
"50",0.850585
"51",0.758791
"52",0.962437
"53",0.872712
"54",0.882018
"55",0.945373
"56",0.846177
"57",0.846237
"58",0.857946
"59",0.856638
"60",0.906199
"61",0.84381
"62",0.760024
"63",0.879532
"64",0.932616
"65",0.856596
"66",0.861844
"67",0.994199
"68",0.925929
"69",0.914032
"70",0.87028
"71",0.90594
"72",0.77058
"73",0.898426
"74",0.916358
"75",0.978387
"76",0.848331
"77",0.903345
"78",0.855351
"79",0.914716
"80",0.843839
"81",0.755134
"82",0.902356
"83",0.844832
"84",0.809245
"85",0.812488
"86",0.934724
"87",0.957159
"88",0.854391
"89",0.842597
"90",0.838278
"91",0.791198
"92",0.979352
"93",0.935502
"94",0.754426
"95",0.859551
"96",0.858464
"97",0.93893
"98",0.984071
"99",0.89356
"100",0.889152
"101",0.905624
"102",0.868104
"103",0.936163
"104",0.949997
"105",0.839702
"106",0.870221
"107",0.927551
"108",0.992411
"109",0.820708
"110",0.969299
"111",0.986387
"112",0.901978
"113",0.801378
"114",0.946289
"115",0.761148
"116",0.972717
"117",0.979791
"118",0.993139
"119",0.934835
"120",0.831769
"121",0.764273
"122",0.965515
"123",0.711079
"124",0.996862
"125",0.962109
"126",0.87245
"127",0.803698
"128",0.951912
"129",0.804284
"130",0.911515
