"","V1"
"1",95
"2",41
"3",35
"4",58
"5",60
"6",42
"7",83
"8",67
"9",41
"10",48
"11",5
"12",13
"13",21
"14",38
"15",21
"16",85
"17",10
"18",58
"19",27
"20",53
"21",30
"22",19
"23",32
"24",57
"25",80
"26",97
"27",47
"28",66
"29",85
"30",9
"31",100
"32",80
"33",84
"34",48
"35",49
"36",27
"37",33
"38",55
"39",37
"40",75
"41",34
"42",12
"43",29
"44",90
"45",77
"46",14
"47",14
"48",24
"49",62
"50",49
"51",30
"52",34
"53",91
"54",73
"55",1
"56",98
"57",58
"58",37
"59",5
"60",25
"61",69
"62",90
"63",54
"64",21
"65",17
"66",78
"67",70
"68",58
"69",58
"70",48
"71",81
"72",30
"73",31
"74",54
"75",97
"76",25
"77",12
"78",64
"79",92
"80",10
"81",90
"82",14
"83",22
"84",22
"85",5
"86",33
"87",28
"88",36
"89",37
"90",46
"91",61
"92",97
"93",53
"94",90
"95",49
"96",98
"97",43
"98",97
"99",67
"100",58
"101",20
"102",48
"103",33
"104",16
"105",45
"106",71
"107",26
"108",70
"109",22
"110",28
"111",88
"112",14
"113",76
"114",21
"115",96
"116",39
"117",97
"118",63
"119",87
"120",18
"121",19
"122",34
"123",9
"124",88
"125",82
"126",16
"127",67
"128",93
"129",51
"130",52
"131",24
"132",65
"133",50
"134",70
"135",60
"136",75
"137",33
"138",88
"139",66
"140",69
"141",61
"142",15
"143",97
"144",85
"145",32
"146",21
"147",40
"148",2
"149",99
"150",71
"151",2
"152",57
"153",91
"154",91
"155",60
"156",69
"157",8
"158",74
"159",25
"160",45
"161",98
"162",99
"163",20
"164",49
"165",5
"166",50
"167",89
"168",94
"169",57
"170",97
"171",24
"172",74
"173",65
"174",70
"175",1
"176",15
"177",94
"178",46
"179",81
"180",21
"181",17
"182",87
"183",57
"184",15
"185",43
"186",14
"187",2
"188",47
"189",98
"190",53
"191",72
"192",56
"193",10
"194",15
"195",8
"196",8
"197",91
"198",96
"199",68
"200",93
"201",41
"202",32
"203",70
"204",55
"205",9
"206",82
"207",81
"208",82
"209",79
"210",8
"211",59
"212",14
"213",100
"214",47
"215",99
"216",56
"217",64
"218",99
"219",60
"220",43
"221",67
"222",37
"223",34
"224",99
"225",92
"226",56
"227",57
"228",17
"229",56
"230",7
"231",27
"232",97
"233",77
"234",28
"235",13
"236",29
"237",74
"238",23
"239",74
"240",69
"241",69
"242",74
"243",68
"244",3
"245",66
"246",20
"247",90
"248",94
"249",51
"250",75
"251",13
"252",63
"253",99
"254",12
"255",77
"256",78
"257",90
"258",50
"259",23
"260",45
"261",20
"262",79
"263",36
"264",26
"265",36
"266",3
"267",34
"268",15
"269",73
"270",64
"271",27
"272",26
"273",48
"274",19
"275",30
"276",1
"277",70
"278",45
"279",96
"280",3
"281",10
"282",76
"283",94
"284",20
"285",71
"286",55
"287",17
"288",89
"289",12
"290",26
"291",75
"292",56
"293",45
"294",69
"295",55
"296",64
"297",85
"298",8
"299",77
"300",98
"301",37
"302",58
"303",58
"304",15
"305",91
"306",50
"307",43
"308",16
"309",11
"310",7
"311",89
"312",3
"313",93
"314",73
"315",74
"316",70
"317",19
"318",32
"319",10
"320",34
"321",93
"322",13
"323",63
"324",70
"325",72
"326",86
"327",85
"328",91
"329",50
"330",50
"331",87
"332",98
"333",12
"334",26
"335",18
"336",13
"337",82
"338",74
"339",31
"340",91
"341",2
"342",87
"343",54
"344",40
"345",69
"346",36
"347",23
"348",58
"349",13
"350",35
"351",84
"352",76
"353",68
"354",79
"355",24
"356",55
"357",88
"358",52
"359",83
"360",21
"361",84
"362",13
"363",79
"364",96
"365",79
"366",39
"367",11
"368",17
"369",9
"370",42
"371",83
"372",6
"373",63
"374",44
"375",15
"376",85
"377",19
"378",22
"379",37
"380",30
"381",48
"382",69
"383",85
"384",81
"385",61
"386",17
"387",31
"388",14
"389",41
"390",23
"391",74
"392",56
"393",56
"394",81
"395",93
"396",40
"397",94
"398",5
"399",35
"400",43
"401",68
"402",51
"403",64
"404",48
"405",86
"406",85
"407",36
"408",86
"409",86
"410",81
"411",59
"412",78
"413",24
"414",69
"415",70
"416",46
"417",66
"418",26
"419",44
"420",61
"421",52
"422",24
"423",65
"424",68
"425",9
"426",2
"427",62
"428",53
"429",75
"430",100
"431",63
"432",65
"433",92
"434",7
"435",7
"436",90
"437",4
"438",20
"439",87
"440",96
"441",74
"442",88
"443",73
"444",85
"445",29
"446",3
"447",85
"448",80
"449",19
"450",55
"451",52
"452",38
"453",97
"454",92
"455",39
"456",6
"457",97
"458",44
"459",71
"460",99
"461",36
"462",81
"463",91
"464",71
"465",82
"466",82
"467",37
"468",61
"469",63
"470",5
"471",16
"472",95
"473",36
"474",93
"475",77
"476",32
"477",2
"478",84
"479",27
"480",98
"481",11
"482",48
"483",64
"484",69
"485",84
"486",44
"487",63
"488",12
"489",78
"490",40
"491",54
"492",77
"493",44
