"","x","y"
"1",5.72125,11.1967
"2",0.805188,5.3249
"3",5.94596,4.40878
"4",9.14734,6.80889
"5",10.9978,6.8595
"6",2.00073,5.09426
"7",2.91816,10.0879
"8",7.24887,7.81881
"9",0.549339,5.33886
"10",8.44938,5.86807
"11",4.95003,0.708051
"12",3.31837,2.03419
"13",1.43888,3.28875
"14",9.17878,4.02027
"15",1.03389,3.02505
"16",5.27099,9.58837
"17",11.084,0.751828
"18",9.11923,6.86889
"19",7.59178,3.57668
"20",3.35068,6.69012
"21",11.5061,3.33871
"22",10.321,2.42536
"23",2.2456,4.40237
"24",7.86951,6.69138
"25",10.3915,9.0659
"26",8.13422,11.0167
"27",7.61455,5.82557
"28",6.20671,7.76822
"29",5.98025,10.2201
"30",9.89622,0.54898
"31",10.9885,11.2323
"32",11.1316,9.02965
"33",3.95582,10.0028
"34",9.1404,5.11415
"35",9.78074,5.88292
"36",7.31977,3.00057
"37",3.03047,3.87799
"38",4.93099,6.45031
"39",7.87524,4.7085
"40",5.50928,8.69682
"41",3.85926,4.30485
"42",1.82346,2.01674
"43",10.1791,3.19463
"44",10.6249,9.95143
"45",7.83542,8.93134
"46",4.12919,1.78761
"47",4.11504,1.79814
"48",4.07287,3.28835
"49",2.1103,7.25739
"50",9.882,5.68251
"51",11.1812,2.93662
"52",4.78666,4.37513
"53",1.02728,10.3678
"54",3.2206,8.81616
"55",0.765984,0.795065
"56",8.27762,11.1575
"57",8.84491,6.11396
"58",7.89934,4.46861
"59",5.51704,1.32179
"60",5.02515,2.80619
"61",9.73239,7.09312
"62",11.1714,10.1551
"63",3.94783,6.6954
"64",0.644459,3.08781
"65",7.09461,2.52094
"66",9.06231,8.64266
"67",10.3868,7.33446
"68",9.14153,6.61757
"69",9.19319,6.70371
"70",9.26267,5.30916
"71",1.58653,9.60723
"72",10.8491,3.07359
"73",1.42025,4.26726
"74",4.16105,6.11342
"75",7.38363,11.1335
"76",5.39989,2.95294
"77",2.28621,2.38016
"78",4.3659,7.4243
"79",2.62392,10.9491
"80",11.0479,1.30198
"81",11.0674,9.95435
"82",4.18427,1.7342
"83",2.04903,3.81291
"84",2.04727,3.40325
"85",5.62481,0.83792
