"","VAR1","VAR2"
"1",0.480594,0.101398
"2",0.127847,0.542534
"3",0.47017,0.595859
"4",0.690928,0.431681
"5",0.887307,0.445544
"6",0.207051,0.546214
"7",0.279748,0.234417
"8",0.659166,0.410382
"9",0.127847,0.542534
"10",0.698771,0.537618
"11",0.427769,0.856913
"12",0.252805,0.789089
"13",0.137812,0.727156
"14",0.718508,0.624848
"15",0.137812,0.727156
"16",0.434662,0.222103
"17",0.893461,0.840645
"18",0.690928,0.431681
"19",0.587267,0.69286
"20",0.311313,0.440514
"21",0.943388,0.739515
"22",0.760153,0.781919
"23",0.220078,0.625845
"24",0.654198,0.44618
"25",0.858906,0.284834
"26",0.651405,0.139319
"27",0.619243,0.561106
"28",0.560009,0.37781
"29",0.434662,0.222103
"30",0.770047,0.839973
"31",0.884712,0.12311
"32",0.858906,0.284834
"33",0.380664,0.196563
"34",0.698771,0.537618
"35",0.811365,0.537798
"36",0.587267,0.69286
"37",0.2856,0.613865
"38",0.450432,0.499344
"39",0.607317,0.595503
"40",0.489687,0.250396
"41",0.342391,0.615156
"42",0.203066,0.788763
"43",0.755393,0.727422
"44",0.881965,0.233565
"45",0.609507,0.299301
"46",0.414177,0.79112
"47",0.414177,0.79112
"48",0.343255,0.706885
"49",0.186981,0.348007
"50",0.811365,0.537798
"51",0.847902,0.731103
"52",0.342391,0.615156
"53",0.0959974,0.0977378
"54",0.250407,0.282786
"55",0.139566,0.865449
"56",0.707732,0.13217
"57",0.690928,0.431681
"58",0.607317,0.595503
"59",0.427769,0.856913
"60",0.476349,0.71133
"61",0.801071,0.380642
"62",0.881965,0.233565
"63",0.390054,0.49515
"64",0.137812,0.727156
"65",0.642733,0.762757
"66",0.736538,0.300506
"67",0.855563,0.412249
"68",0.690928,0.431681
"69",0.690928,0.431681
"70",0.698771,0.537618
"71",0.0911095,0.227116
"72",0.847902,0.731103
"73",0.126168,0.605633
"74",0.390054,0.49515
"75",0.651405,0.139319
"76",0.476349,0.71133
"77",0.203066,0.788763
"78",0.385395,0.344133
"79",0.199533,0.131371
"80",0.893461,0.840645
"81",0.881965,0.233565
"82",0.414177,0.79112
"83",0.229341,0.668831
