"","VAR1","VAR2"
"1",0.650406,-0.0125245
"2",-0.105423,0.437017
"3",0.456174,0.694351
"4",0.960695,0.466491
"5",0.60257,0.301382
"6",0.00480858,0.268102
"7",0.243656,0.156908
"8",0.838063,0.525708
"9",-0.105423,0.437017
"10",0.809566,0.380109
"11",0.292982,1.04867
"12",0.12123,0.711698
"13",0.310288,0.839258
"14",0.519309,0.554612
"15",0.310288,0.839258
"16",0.262967,0.501704
"17",1.084,0.762125
"18",0.960695,0.466491
"19",0.389907,0.746596
"20",0.21997,0.617583
"21",0.777648,0.644313
"22",0.564837,1.08143
"23",0.397949,0.758487
"24",0.57978,0.719531
"25",1.13165,0.456618
"26",0.630089,0.334052
"27",0.723835,0.373205
"28",0.550103,0.345437
"29",0.262967,0.501704
"30",0.543783,1.13364
"31",0.85266,-0.0689191
"32",1.13165,0.456618
"33",0.594516,0.155161
"34",0.809566,0.380109
"35",0.855409,0.280293
"36",0.389907,0.746596
"37",0.286789,0.511685
"38",0.567457,0.72957
"39",0.818477,0.317289
"40",0.659491,0.14618
"41",0.276847,0.516895
"42",0.0377625,0.649432
"43",0.823854,0.892007
"44",1.1621,0.180629
"45",0.883,0.360591
"46",0.250774,0.583786
"47",0.250774,0.583786
"48",0.0827595,0.658777
"49",0.0874845,0.386513
"50",0.855409,0.280293
"51",1.05304,0.98726
"52",0.276847,0.516895
"53",0.238211,-0.00542968
"54",0.533584,0.276363
"55",0.401045,0.71779
"56",0.412239,0.0862455
"57",0.960695,0.466491
"58",0.818477,0.317289
"59",0.292982,1.04867
"60",0.421532,0.936302
"61",0.529925,0.620893
"62",1.1621,0.180629
"63",0.276679,0.262499
"64",0.310288,0.839258
"65",0.86724,0.5982
"66",0.58572,0.584797
"67",0.777494,0.532465
"68",0.960695,0.466491
"69",0.960695,0.466491
"70",0.809566,0.380109
"71",0.111736,0.0256625
"72",1.05304,0.98726
"73",-0.0414032,0.517648
"74",0.276679,0.262499
"75",0.630089,0.334052
"76",0.421532,0.936302
"77",0.0377625,0.649432
"78",0.474202,0.639351
"79",-0.0247794,0.347491
"80",1.084,0.762125
"81",1.1621,0.180629
"82",0.250774,0.583786
"83",0.0600993,0.449538
"84",0.0600993,0.449538
"85",0.292982,1.04867
"86",0.286789,0.511685
"87",0.696322,0.732059
"88",0.259749,0.701944
"89",0.818477,0.317289
"90",0.551076,0.835028
"91",-0.0699592,0.271192
"92",0.630089,0.334052
"93",0.21997,0.617583
"94",1.1621,0.180629
"95",0.855409,0.280293
"96",0.412239,0.0862455
"97",0.447474,0.46809
"98",0.630089,0.334052
"99",0.838063,0.525708
"100",0.960695,0.466491
"101",0.807589,0.936485
"102",0.809566,0.380109
"103",0.286789,0.511685
"104",0.739734,0.826536
"105",0.216289,0.394077
"106",0.0238077,0.473618
"107",0.685942,0.618262
"108",0.777494,0.532465
"109",0.0600993,0.449538
"110",0.696322,0.732059
"111",0.74571,0.29278
"112",0.250774,0.583786
"113",0.751546,0.126304
"114",0.310288,0.839258
"115",0.269074,0.102756
"116",0.721764,0.517985
"117",0.630089,0.334052
"118",0.3901,0.309637
"119",0.714638,0.130789
"120",0.456569,0.679871
"121",0.564837,1.08143
"122",0.276847,0.516895
"123",0.543783,1.13364
"124",0.74571,0.29278
"125",0.247288,0.172824
"126",0.739734,0.826536
"127",0.838063,0.525708
"128",0.202385,0.363947
"129",-0.00972178,0.270195
"130",0.296029,0.631353
"131",0.0827595,0.658777
"132",0.249106,0.104776
"133",0.688223,0.304788
"134",0.777494,0.532465
"135",0.60257,0.301382
"136",0.659491,0.14618
"137",0.286789,0.511685
"138",0.74571,0.29278
"139",0.550103,0.345437
"140",0.529925,0.620893
"141",-0.0699592,0.271192
"142",0.483377,0.860109
"143",0.630089,0.334052
"144",0.262967,0.501704
"145",0.397949,0.758487
"146",0.310288,0.839258
"147",0.913186,0.776793
"148",0.164165,1.03411
"149",1.01632,0.201015
"150",0.0238077,0.473618
"151",0.164165,1.03411
"152",0.57978,0.719531
"153",0.238211,-0.00542968
"154",0.238211,-0.00542968
"155",0.60257,0.301382
"156",0.529925,0.620893
"157",0.646679,0.709798
"158",0.353638,0.584063
"159",0.421532,0.936302
"160",0.216289,0.394077
"161",0.412239,0.0862455
"162",1.01632,0.201015
