"","VAR1","VAR2"
"1",0.284044,0.796635
"2",0.163082,0.803023
"3",0.445769,0.0897807
"4",-0.0397597,0.162847
"5",0.00886687,0.39717
"6",0.819418,0.316599
"7",0.631272,0.314697
"8",1.01175,0.832342
"9",0.833266,0.437389
"10",0.715201,0.54019
"11",0.189046,0.565773
"12",-0.0876976,1.13424
"13",0.594116,0.358315
"14",-0.0397597,0.162847
"15",0.525744,0.394599
"16",1.01175,0.832342
"17",0.225403,0.0340259
"18",-0.103473,0.936777
"19",0.691175,0.721713
"20",0.225403,0.0340259
"21",0.29509,0.879716
"22",0.621484,0.372535
"23",0.160218,0.271806
"24",0.594116,0.358315
"25",0.163082,0.803023
"26",0.565316,0.531666
"27",0.260526,1.13474
"28",1.04912,0.742775
"29",0.396119,0.510735
"30",0.714425,0.315142
"31",0.396119,0.510735
"32",0.977484,0.126947
"33",0.284044,0.796635
"34",0.280234,0.746998
"35",0.681611,0.567753
"36",0.691175,0.721713
"37",0.457522,0.783393
"38",0.225403,0.0340259
"39",0.00936294,0.482503
"40",0.56196,0.406948
"41",0.461637,0.231415
"42",0.333911,0.427193
"43",0.426495,-0.0490736
"44",1.12726,0.192309
"45",0.270554,0.185391
"46",0.566136,0.14517
"47",0.528308,0.710366
"48",0.91743,0.689796
"49",0.508461,0.929001
"50",0.80205,1.00992
"51",0.567887,0.407047
"52",0.457522,0.783393
"53",1.12726,0.192309
"54",0.565316,0.531666
"55",0.24096,0.773803
"56",0.184436,0.242313
"57",0.801597,0.765098
"58",1.12726,0.192309
"59",0.445624,0.572138
"60",0.508461,0.929001
"61",0.514147,0.793279
"62",0.29509,0.879716
"63",0.509506,0.33677
"64",1.04912,0.742775
"65",0.948742,0.395263
"66",0.461637,0.231415
"67",0.558303,0.580199
"68",0.184436,0.242313
"69",0.00886687,0.39717
"70",0.811705,0.692511
"71",1.12726,0.192309
"72",0.42453,0.636096
"73",0.368809,1.07299
"74",0.691175,0.721713
"75",0.453607,0.793418
"76",0.567887,0.407047
"77",0.453607,0.793418
"78",-0.0397597,0.162847
"79",0.396119,0.510735
"80",0.725525,0.597337
"81",0.457522,0.783393
"82",0.944995,1.04939
"83",0.445769,0.0897807
"84",0.160218,0.271806
"85",0.280234,0.746998
"86",1.01175,0.832342
"87",0.388109,0.585413
"88",0.260526,1.13474
"89",0.715201,0.54019
"90",0.757627,0.2426
"91",1.20002,0.440577
"92",0.56196,0.406948
"93",0.359215,0.272632
"94",0.791561,0.540861
"95",0.29509,0.879716
"96",0.426495,-0.0490736
"97",0.806893,0.382403
"98",0.668784,0.380265
"99",0.365835,0.97361
"100",0.786587,0.697239
"101",0.514147,0.793279
"102",1.12726,0.192309
"103",0.0688441,0.887807
"104",0.715201,0.54019
"105",0.514147,0.793279
"106",0.791561,0.540861
"107",0.917731,0.905239
"108",0.527324,0.912348
"109",0.186187,0.464835
"110",0.478054,0.461635
"111",0.849462,0.30617
"112",0.527324,0.912348
"113",0.565316,0.531666
"114",0.134623,0.0930189
"115",0.514147,0.793279
"116",1.01175,0.832342
"117",0.280234,0.746998
"118",0.186187,0.464835
"119",0.725525,0.597337
"120",-0.075374,1.04195
"121",0.977484,0.126947
"122",0.877502,0.336024
"123",0.877502,0.336024
"124",0.186187,0.464835
"125",0.733483,0.690551
"126",0.00936294,0.482503
"127",0.368809,1.07299
"128",0.514147,0.793279
"129",0.558303,0.580199
"130",0.478054,0.461635
"131",1.01692,0.591094
"132",0.333911,0.427193
"133",0.0854586,0.537086
"134",0.365835,0.97361
"135",-0.0595513,0.624956
"136",0.461637,0.231415
"137",0.714425,0.315142
"138",0.186187,0.464835
"139",0.177761,0.520343
"140",0.306966,0.541568
"141",0.306966,0.541568
"142",0.786587,0.697239
"143",0.29509,0.879716
"144",0.284044,0.796635
"145",0.531916,0.13702
"146",0.819418,0.316599
"147",0.885457,0.404617
"148",0.184436,0.242313
"149",0.156468,0.103309
"150",0.186187,0.464835
"151",0.849462,0.30617
"152",0.225403,0.0340259
"153",1.12726,0.192309
"154",0.465186,0.446078
"155",0.134623,0.0930189
"156",0.948742,0.395263
"157",0.892952,0.898741
"158",0.508461,0.929001
"159",0.819308,0.273971
"160",0.544188,0.632345
"161",0.849462,0.30617
"162",0.00886687,0.39717
"163",1.01692,0.591094
"164",0.478054,0.461635
"165",0.691175,0.721713
"166",0.270554,0.185391
"167",0.725525,0.597337
"168",0.528308,0.710366
"169",0.801597,0.765098
"170",0.892952,0.898741
"171",0.91743,0.689796
"172",0.261803,0.763405
"173",0.284044,0.796635
"174",0.225403,0.0340259
"175",1.20002,0.440577
"176",-0.103473,0.936777
"177",0.623436,0.595351
"178",0.791561,0.540861
"179",0.261803,0.763405
"180",0.388109,0.585413
"181",0.396119,0.510735
"182",0.668784,0.380265
"183",0.574805,0.808861
"184",0.645449,0.901383
"185",1.01723,0.262856
"186",0.0688441,0.887807
"187",0.917731,0.905239
"188",0.261803,0.763405
"189",0.715201,0.54019
"190",0.566136,0.14517
"191",0.977484,0.126947
"192",0.0854586,0.537086
"193",1.01175,0.832342
"194",0.270554,0.185391
"195",0.42453,0.636096
"196",0.691175,0.721713
"197",0.671077,0.482255
"198",0.492834,0.218525
"199",0.733483,0.690551
"200",0.553164,0.699557
"201",0.819308,0.273971
"202",0.849462,0.30617
"203",0.704457,0.225617
"204",0.757627,0.2426
"205",-0.0397597,0.162847
"206",0.668784,0.380265
"207",0.944995,1.04939
"208",0.12527,0.439686
"209",0.849462,0.30617
"210",0.849462,0.30617
"211",0.916548,0.294279
"212",0.445624,0.572138
"213",0.312537,0.858562
"214",0.284044,0.796635
"215",0.784256,0.764532
"216",1.20002,0.440577
"217",0.465186,0.446078
"218",0.260526,1.13474
"219",0.671077,0.482255
"220",0.478054,0.461635
"221",0.645449,0.901383
"222",1.20002,0.440577
"223",0.531916,0.13702
"224",0.445769,0.0897807
"225",0.668784,0.380265
"226",-0.075374,1.04195
"227",0.819418,0.316599
"228",0.453607,0.793418
"229",0.163082,0.803023
"230",0.715201,0.54019
"231",0.811705,0.692511
"232",0.574805,0.808861
"233",0.134623,0.0930189
"234",0.645449,0.901383
"235",0.189046,0.565773
"236",0.312537,0.858562
"237",0.977484,0.126947
"238",0.531916,0.13702
"239",-0.0595513,0.624956
"240",0.527324,0.912348
"241",0.574805,0.808861
"242",0.645449,0.901383
"243",0.704457,0.225617
"244",0.819308,0.273971
"245",1.01175,0.832342
"246",0.531916,0.13702
"247",0.645449,0.901383
"248",0.359215,0.272632
"249",0.0854586,0.537086
"250",0.280234,0.746998
"251",0.525451,0.409144
"252",0.365835,0.97361
"253",0.91743,0.689796
"254",-0.0397597,0.162847
"255",0.156468,0.103309
"256",0.757627,0.2426
"257",0.514147,0.793279
"258",0.365835,0.97361
"259",0.527324,0.912348
"260",1.20002,0.440577
"261",1.01175,0.832342
"262",0.691175,0.721713
"263",0.56196,0.406948
"264",0.368809,1.07299
"265",0.509506,0.33677
"266",0.944995,1.04939
"267",0.163082,0.803023
"268",0.306966,0.541568
"269",0.284044,0.796635
"270",1.01692,0.591094
"271",0.525744,0.394599
"272",0.580838,0.160468
"273",0.645449,0.901383
"274",0.567887,0.407047
"275",0.528308,0.710366
"276",0.704457,0.225617
"277",-0.0595513,0.624956
"278",0.819308,0.273971
"279",0.623436,0.595351
"280",1.01692,0.591094
"281",0.160218,0.271806
"282",0.806893,0.382403
"283",0.24096,0.773803
"284",0.892952,0.898741
"285",1.04912,0.742775
"286",0.156468,0.103309
"287",0.160698,0.421576
"288",0.671077,0.482255
"289",0.91743,0.689796
"290",0.806893,0.382403
"291",0.791561,0.540861
"292",0.509506,0.33677
"293",0.00936294,0.482503
"294",0.811705,0.692511
"295",-0.075374,1.04195
"296",0.997579,0.677743
"297",0.819418,0.316599
"298",0.553164,0.699557
"299",0.715201,0.54019
"300",0.365835,0.97361
"301",0.733483,0.690551
"302",0.465186,0.446078
"303",0.445624,0.572138
"304",0.465186,0.446078
"305",0.225403,0.0340259
"306",0.784256,0.764532
"307",0.801597,0.765098
"308",0.811705,0.692511
"309",0.567887,0.407047
"310",0.359215,0.272632
"311",0.388109,0.585413
"312",0.461637,0.231415
"313",0.977484,0.126947
"314",0.553164,0.699557
"315",-0.075374,1.04195
"316",0.445769,0.0897807
"317",0.725525,0.597337
"318",0.284044,0.796635
"319",0.558303,0.580199
"320",0.623436,0.595351
"321",0.156468,0.103309
"322",0.189046,0.565773
"323",0.388109,0.585413
"324",0.565316,0.531666
"325",0.184436,0.242313
"326",0.631272,0.314697
