"","V1"
"1",0.996922
"2",0.980218
"3",0.985193
"4",0.984118
"5",0.984413
"6",0.935077
"7",0.961199
"8",0.991529
"9",0.94756
"10",0.993459
"11",0.991528
"12",0.996909
"13",0.943574
"14",0.993483
"15",0.982473
"16",0.999574
"17",0.989384
"18",0.982302
"19",0.970155
"20",0.980173
"21",0.996265
"22",0.977133
"23",0.999498
"24",0.994497
"25",0.998553
"26",0.983885
"27",0.976928
"28",0.994015
"29",0.983124
"30",0.999985
"31",0.992202
"32",0.917864
"33",0.932383
"34",0.992258
"35",0.997418
"36",0.991825
"37",0.980319
"38",0.993102
"39",0.983186
"40",0.956783
"41",0.984982
"42",0.991464
"43",0.974006
"44",0.959467
"45",0.9828
"46",0.996787
"47",0.998424
"48",0.949504
"49",0.989276
"50",0.967116
"51",0.98837
"52",0.972456
"53",0.979226
"54",0.979179
"55",0.995491
"56",0.988242
"57",0.974165
"58",0.990684
"59",0.945815
"60",0.986068
"61",0.999729
"62",0.967123
"63",0.985988
"64",0.981304
"65",0.946969
"66",0.912284
"67",0.881798
"68",0.954705
"69",0.992518
"70",0.999165
"71",0.996006
"72",0.96583
"73",0.985996
"74",0.948267
"75",0.993102
"76",0.977734
"77",0.980291
"78",0.992682
"79",0.992956
"80",0.999119
"81",0.991905
"82",0.978088
"83",0.994777
"84",0.992258
"85",0.99053
"86",0.996875
"87",0.994052
"88",0.995492
"89",0.957881
"90",0.995491
"91",0.985668
"92",0.994357
"93",0.996528
"94",0.994626
"95",0.995491
"96",0.968492
"97",0.881095
"98",0.995193
"99",0.991699
"100",0.989532
"101",0.991464
"102",0.986632
"103",0.995675
"104",0.996328
"105",0.985668
"106",0.99985
"107",0.917256
"108",0.994497
"109",0.978279
"110",0.994132
"111",0.98802
"112",0.983088
"113",0.975055
"114",0.925998
"115",0.999773
"116",0.99025
"117",0.99053
"118",0.992509
"119",0.984041
"120",0.973008
"121",0.92804
"122",0.983304
"123",0.983304
"124",0.986632
"125",0.964204
"126",0.966944
"127",0.99601
"128",0.993486
"129",0.985592
"130",0.944654
"131",0.998892
"132",0.983819
"133",0.993102
"134",0.992931
"135",0.99531
"136",0.973999
"137",0.999119
"138",0.998466
"139",0.961425
"140",0.990768
"141",0.99985
"142",0.974163
"143",0.845532
"144",0.986465
"145",0.999425
"146",0.982554
"147",0.99944
"148",0.988575
"149",0.998331
"150",0.999814
"151",0.973648
"152",0.990004
"153",0.983124
"154",0.989724
"155",0.941769
"156",0.992682
"157",0.994102
"158",0.995675
"159",0.985319
"160",0.985066
"161",0.926743
"162",0.967123
"163",0.98296
"164",0.975064
"165",0.976803
"166",0.996265
"167",0.989384
"168",0.999814
"169",0.999665
"170",0.935546
"171",0.950936
"172",0.975023
"173",0.989046
"174",0.936923
"175",0.989058
"176",0.935251
"177",0.996178
"178",0.998917
"179",0.94818
"180",0.977939
"181",0.995675
"182",0.996468
"183",0.984847
"184",0.9945
"185",0.962608
"186",0.995491
"187",0.930565
"188",0.997908
"189",0.967123
"190",0.985022
"191",0.989976
"192",0.975035
"193",0.960707
"194",0.95651
"195",0.974066
"196",0.966817
"197",0.991615
"198",0.974995
"199",0.998795
"200",0.973622
"201",0.972922
"202",0.993353
"203",0.975236
"204",0.998553
"205",0.95892
"206",0.978491
"207",0.979908
"208",0.975137
"209",0.99151
"210",0.959683
"211",0.99053
"212",0.976013
"213",0.995064
"214",0.999958
"215",0.95651
"216",0.994966
"217",0.995153
"218",0.979185
"219",0.993744
"220",0.99617
"221",0.992022
"222",0.978904
"223",0.986989
"224",0.975782
"225",0.957876
"226",0.998049
"227",0.955367
"228",0.962089
"229",0.922057
"230",0.983422
"231",0.984117
"232",0.983148
"233",0.998816
"234",0.967123
"235",0.9531
"236",0.999914
"237",0.999729
"238",0.951593
"239",0.995153
"240",0.956058
"241",0.952988
"242",0.979179
"243",0.967123
"244",0.985553
"245",0.95651
"246",0.998424
"247",0.989046
"248",0.974738
"249",0.986748
"250",0.999564
"251",0.985808
"252",0.995987
"253",0.979043
"254",0.985712
"255",0.995142
"256",0.980041
"257",0.972456
"258",0.996725
"259",0.982434
"260",0.98105
"261",0.999958
"262",0.989257
"263",0.978321
"264",0.994132
"265",0.989972
"266",0.918791
"267",0.98705
"268",0.9948
"269",0.994777
"270",0.998466
"271",0.994538
"272",0.975811
"273",0.924818
"274",0.996787
"275",0.989276
"276",0.947854
"277",0.918422
"278",0.997429
"279",0.983088
"280",0.995104
"281",0.994113
"282",0.985702
"283",0.996776
"284",0.960888
"285",0.960707
"286",0.991528
"287",0.958113
"288",0.997101
"289",0.998424
"290",0.959561
"291",0.993648
"292",0.973434
"293",0.962235
"294",0.995987
"295",0.995491
"296",0.977939
"297",0.995491
"298",0.997775
"299",0.984348
"300",0.983127
"301",0.999382
"302",0.991825
"303",0.994538
"304",0.983883
"305",0.973468
"306",0.982032
"307",0.92307
"308",0.99531
"309",0.983124
"310",0.973776
"311",0.994638
"312",0.998574
"313",0.991771
"314",0.903299
"315",0.924818
"316",0.986632
"317",0.978279
"318",0.976013
"319",0.961925
"320",0.987075
"321",0.987473
"322",0.999249
"323",0.925463
"324",0.98802
"325",0.972969
"326",0.976803
"327",0.989429
"328",0.888078
"329",0.996909
"330",0.976235
"331",0.995675
"332",0.975137
"333",0.989532
"334",0.932191
"335",0.935266
"336",0.948296
"337",0.94991
"338",0.882597
"339",0.992215
"340",0.996116
"341",0.991464
"342",0.989175
"343",0.95163
"344",0.990036
"345",0.993092
"346",0.978693
"347",0.992682
"348",0.982233
"349",0.985952
"350",0.999638
"351",0.986223
