"","V1"
"1",0.866
"2",0.87942
"3",0.972407
"4",0.960012
"5",0.989807
"6",0.593055
"7",0.955705
"8",0.854574
"9",0.916841
"10",0.866764
"11",0.815389
"12",0.895517
"13",0.817733
"14",0.817836
"15",0.901593
"16",0.91154
"17",0.858635
"18",0.739552
"19",0.957269
"20",0.733456
"21",0.931931
"22",0.860695
"23",0.913331
"24",0.780628
"25",0.777235
"26",0.961775
"27",0.972434
"28",0.853975
"29",0.853866
"30",0.817923
"31",0.845603
"32",0.903976
"33",0.81816
"34",0.778569
"35",0.783459
"36",0.939109
"37",0.888232
"38",0.947143
"39",0.743718
"40",0.92368
"41",0.832839
"42",0.99672
"43",0.844695
"44",0.794135
"45",0.84069
"46",0.895336
"47",0.882063
"48",0.691212
"49",0.860022
"50",0.76813
"51",0.823021
"52",0.952401
"53",0.93058
"54",0.880583
"55",0.836157
"56",0.929721
"57",0.85764
"58",0.957857
"59",0.873757
"60",0.823246
"61",0.906664
"62",0.678436
"63",0.932931
"64",0.958508
"65",0.757178
"66",0.710667
"67",0.94126
"68",0.996552
"69",0.935334
"70",0.872435
"71",0.789
"72",0.900374
"73",0.855441
"74",0.801839
"75",0.947143
"76",0.956127
"77",0.823998
"78",0.977472
"79",0.895375
"80",0.851586
"81",0.914227
"82",0.716435
"83",0.8404
"84",0.778569
"85",0.744964
"86",0.853514
"87",0.823284
"88",0.835631
"89",0.875432
"90",0.836157
"91",0.9262
"92",0.972258
"93",0.944517
"94",0.794768
"95",0.836157
"96",0.982234
"97",0.546483
"98",0.833917
"99",0.918053
"100",0.808887
"101",0.99672
"102",0.890161
"103",0.880533
"104",0.907992
"105",0.9262
"106",0.864547
"107",0.927557
"108",0.780628
"109",0.849247
"110",0.743407
"111",0.810827
"112",0.891319
"113",0.888169
"114",0.736543
"115",0.994068
"116",0.905199
"117",0.744964
"118",0.87538
"119",0.855364
"120",0.798609
"121",0.626957
"122",0.997571
"123",0.997571
"124",0.890161
"125",0.842254
"126",0.888194
"127",0.89858
"128",0.814907
"129",0.925188
"130",0.960781
"131",0.871748
"132",0.91299
"133",0.947143
"134",0.783776
"135",0.910725
"136",0.999378
"137",0.851586
"138",0.940306
"139",0.711385
"140",0.773961
"141",0.864547
"142",0.796268
"143",0.982428
"144",0.697988
"145",0.975782
"146",0.782767
"147",0.871069
"148",0.957434
"149",0.775376
"150",0.863956
"151",0.676833
"152",0.929051
"153",0.853866
"154",0.889227
"155",0.750921
"156",0.977472
"157",0.992212
"158",0.880533
"159",0.96003
"160",0.855021
"161",0.854806
"162",0.678436
"163",0.821723
"164",0.700901
"165",0.996102
"166",0.931931
"167",0.858635
"168",0.863956
"169",0.924928
"170",0.790408
"171",0.978471
"172",0.906746
"173",0.842286
"174",0.76307
"175",0.803291
"176",0.900477
"177",0.764134
"178",0.879635
"179",0.932593
"180",0.814959
"181",0.880533
"182",0.898082
"183",0.913262
"184",0.993673
"185",0.927819
"186",0.836157
"187",0.755766
"188",0.965087
"189",0.678436
"190",0.9194
"191",0.884627
"192",0.931568
"193",0.958913
"194",0.696377
"195",0.756264
"196",0.942541
"197",0.896908
"198",0.746785
"199",0.903996
"200",0.885445
"201",0.92117
"202",0.881977
"203",0.800908
"204",0.777235
"205",0.872702
"206",0.863236
"207",0.931089
"208",0.95822
"209",0.777561
"210",0.641232
"211",0.744964
"212",0.899315
"213",0.960512
"214",0.941354
"215",0.696377
"216",0.894834
"217",0.738076
"218",0.907204
"219",0.879413
"220",0.855232
"221",0.823473
"222",0.956225
"223",0.752344
"224",0.819283
"225",0.845695
"226",0.86044
"227",0.664695
"228",0.850445
"229",0.887193
"230",0.953978
"231",0.861173
