"","x","y"
"1",3.37778,10.905
"2",11.3895,4.61039
"3",5.82423,11.3402
"4",8.91416,10.2443
"5",5.32374,4.05674
"6",7.51856,1.51708
"7",5.91964,4.02863
"8",6.769,9.19368
"9",1.39499,0.815942
"10",4.88471,3.29336
"11",0.658577,2.25955
"12",7.38736,11.2659
"13",9.37096,9.04742
"14",2.15707,5.85625
"15",9.93487,7.0641
"16",8.17311,3.09291
"17",11.4052,1.76072
"18",6.05701,5.75686
"19",8.21326,1.03777
"20",6.02361,4.03835
"21",11.0042,4.47234
"22",6.43462,10.4589
"23",6.95219,9.53095
"24",0.944682,0.98843
"25",5.30025,9.75592
"26",7.09027,2.74592
"27",6.71246,9.34662
"28",6.24726,10.37
"29",9.33411,0.68145
"30",5.29775,7.84248
"31",10.1568,5.46112
"32",0.765313,4.7519
"33",9.06054,1.59795
"34",8.8621,8.19761
"35",11.1593,8.74356
"36",8.04036,5.18198
"37",8.23888,9.24016
"38",6.42657,10.1866
"39",6.27339,7.08027
"40",3.14757,7.93831
"41",6.41448,4.99965
"42",3.36477,3.85152
"43",4.49864,8.05747
"44",2.47856,0.789311
"45",4.3222,9.65198
"46",8.83431,4.33243
"47",2.20982,6.5373
"48",9.37889,6.11527
"49",0.827437,9.5319
"50",10.0862,7.94611
"51",1.08284,1.57751
"52",7.35589,10.5094
"53",2.85602,0.874804
"54",10.9775,6.1301
"55",0.844966,7.32097
"56",1.93496,0.719035
"57",6.40998,1.10083
"58",7.31403,5.44156
"59",11.2925,10.39
"60",0.635652,5.86922
"61",2.70716,2.16284
"62",2.2539,11.279
"63",1.6732,4.11107
"64",5.64205,1.16294
"65",10.3487,8.68675
"66",4.93924,8.83819
"67",11.5009,3.0091
"68",3.30565,8.10039
"69",3.35262,2.05774
"70",8.88556,6.00731
"71",6.36928,6.69345
"72",3.37881,1.95626
"73",10.0605,9.79774
"74",2.66764,0.808276
"75",6.90184,9.36787
"76",1.8961,9.32862
"77",1.02846,6.20835
"78",2.41636,7.39008
"79",3.8063,8.76292
"80",9.65235,8.745
"81",4.76731,5.75209
"82",1.82227,10.8294
"83",10.1546,6.55501
"84",9.04517,9.06979
"85",5.44841,10.1204
"86",3.60023,11.2486
"87",9.95507,7.89489
"88",8.89869,7.32996
"89",1.7442,8.61371
"90",1.11008,7.46121
"91",7.24195,1.7342
"92",6.65236,2.93299
"93",11.0986,11.1766
"94",6.50168,5.99411
"95",1.03716,7.46357
"96",3.53258,5.97652
"97",8.99765,11.401
"98",7.6393,0.703143
"99",6.58467,9.55791
"100",0.625047,5.84195
"101",3.09359,4.04273
"102",6.22082,1.99605
"103",0.666746,3.80979
"104",3.23761,3.01753
"105",7.68433,1.82506
"106",4.30771,0.719333
"107",5.49465,4.78475
"108",0.926782,0.951675
"109",6.3612,10.9606
"110",1.86762,5.68446
"111",0.954165,7.24787
"112",10.8028,8.50786
"113",10.9218,7.98847
"114",4.99743,8.93617
"115",2.50869,9.83538
"116",11.1199,9.60352
"117",5.2693,10.0039
"118",2.33001,2.31127
"119",5.84398,9.18342
"120",7.25293,8.29104
"121",6.94878,0.66928
"122",5.19086,1.66531
"123",4.91299,2.25262
"124",6.67821,1.94735
"125",10.3489,3.62269
"126",6.40023,3.95091
"127",7.35759,2.97782
"128",3.90193,2.79435
"129",4.07184,3.93774
"130",4.10131,7.2212
"131",3.11556,3.13159
