"","VAR1","VAR2"
"1",0.274764,0.130461
"2",0.891905,0.589287
"3",0.480594,0.101398
"4",0.68147,0.20752
"5",0.47017,0.595859
"6",0.596334,0.851051
"7",0.47017,0.595859
"8",0.558577,0.278676
"9",0.139566,0.865449
"10",0.343255,0.706885
"11",0.159192,0.827396
"12",0.651405,0.139319
"13",0.750976,0.270966
"14",0.207051,0.546214
"15",0.758223,0.42955
"16",0.587267,0.69286
"17",0.898515,0.751825
"18",0.536057,0.537338
"19",0.712904,0.899016
"20",0.551933,0.630105
"21",0.891905,0.589287
"22",0.550006,0.154787
"23",0.5071,0.185832
"24",0.139566,0.865449
"25",0.434662,0.222103
"26",0.563885,0.739051
"27",0.5071,0.185832
"28",0.550006,0.154787
"29",0.770047,0.839973
"30",0.450717,0.347379
"31",0.811365,0.537798
"32",0.126168,0.605633
"33",0.712904,0.899016
"34",0.736538,0.300506
"35",0.858906,0.284834
"36",0.619243,0.561106
"37",0.736538,0.300506
"38",0.5071,0.185832
"39",0.529527,0.489773
"40",0.252821,0.388922
"41",0.536057,0.537338
"42",0.2856,0.613865
"43",0.385395,0.344133
"44",0.244032,0.847259
"45",0.380664,0.196563
"46",0.718508,0.624848
"47",0.185049,0.42377
"48",0.758223,0.42955
"49",0.0911095,0.227116
"50",0.801071,0.380642
"51",0.139566,0.865449
"52",0.651405,0.139319
"53",0.306389,0.885537
"54",0.887307,0.445544
"55",0.154186,0.387331
"56",0.244032,0.847259
"57",0.567348,0.836923
"58",0.619243,0.561106
"59",0.884712,0.12311
"60",0.127847,0.542534
"61",0.203066,0.788763
"62",0.199533,0.131371
"63",0.220078,0.625845
"64",0.427769,0.856913
"65",0.750976,0.270966
"66",0.489687,0.250396
"67",0.943388,0.739515
"68",0.252821,0.388922
"69",0.252805,0.789089
"70",0.690928,0.431681
"71",0.529527,0.489773
"72",0.252805,0.789089
"73",0.80956,0.176407
"74",0.244032,0.847259
"75",0.5071,0.185832
"76",0.205728,0.208984
"77",0.105829,0.467067
"78",0.186981,0.348007
"79",0.250407,0.282786
"80",0.750976,0.270966
"81",0.375321,0.508506
"82",0.199533,0.131371
"83",0.758223,0.42955
"84",0.736538,0.300506
"85",0.434662,0.222103
"86",0.274764,0.130461
"87",0.801071,0.380642
"88",0.671584,0.357656
"89",0.242101,0.286376
"90",0.154186,0.387331
"91",0.642733,0.762757
"92",0.563885,0.739051
"93",0.884712,0.12311
"94",0.536057,0.537338
"95",0.154186,0.387331
"96",0.282134,0.504011
"97",0.707732,0.13217
"98",0.596334,0.851051
"99",0.5071,0.185832
"100",0.127847,0.542534
"101",0.2856,0.613865
"102",0.578316,0.77559
"103",0.137812,0.727156
"104",0.320167,0.68785
"105",0.642733,0.762757
"106",0.40115,0.908572
"107",0.47017,0.595859
"108",0.139566,0.865449
"109",0.550006,0.154787
"110",0.207051,0.546214
"111",0.154186,0.387331
"112",0.858906,0.284834
"113",0.855563,0.412249
"114",0.489687,0.250396
"115",0.205728,0.208984
"116",0.881965,0.233565
"117",0.434662,0.222103
"118",0.203066,0.788763
"119",0.489687,0.250396
"120",0.609507,0.299301
"121",0.567348,0.836923
"122",0.450753,0.758251
"123",0.450753,0.758251
"124",0.578316,0.77559
"125",0.755393,0.727422
"126",0.551933,0.630105
"127",0.587267,0.69286
