"","VAR1","VAR2"
"1",0.202385,0.363947
"2",0.913186,0.776793
"3",0.650406,-0.0125245
"4",0.74571,0.29278
"5",0.456174,0.694351
"6",0.358574,1.08035
"7",0.456174,0.694351
"8",0.751546,0.126304
"9",0.401045,0.71779
"10",0.0827595,0.658777
"11",-0.12659,1.02517
"12",0.630089,0.334052
"13",0.565719,0.0346676
"14",0.00480858,0.268102
"15",0.94429,0.657136
"16",0.389907,0.746596
"17",0.807589,0.936485
"18",0.551076,0.835028
"19",0.646679,0.709798
"20",0.259749,0.701944
"21",0.913186,0.776793
"22",0.269074,0.102756
"23",0.29324,0.250785
"24",0.401045,0.71779
"25",0.262967,0.501704
"26",0.685942,0.618262
"27",0.29324,0.250785
"28",0.269074,0.102756
"29",0.543783,1.13364
"30",0.249106,0.104776
"31",0.855409,0.280293
"32",-0.0414032,0.517648
"33",0.646679,0.709798
"34",0.58572,0.584797
"35",1.13165,0.456618
"36",0.723835,0.373205
"37",0.58572,0.584797
"38",0.29324,0.250785
"39",0.337136,0.720524
"40",0.3901,0.309637
"41",0.551076,0.835028
"42",0.286789,0.511685
"43",0.474202,0.639351
"44",0.164165,1.03411
"45",0.594516,0.155161
"46",0.519309,0.554612
"47",0.296029,0.631353
"48",0.94429,0.657136
"49",0.111736,0.0256625
"50",0.529925,0.620893
"51",0.401045,0.71779
"52",0.630089,0.334052
"53",0.438648,0.819637
"54",0.60257,0.301382
"55",-0.0699592,0.271192
"56",0.164165,1.03411
"57",0.284189,1.02829
"58",0.723835,0.373205
"59",0.85266,-0.0689191
"60",-0.105423,0.437017
"61",0.0377625,0.649432
"62",-0.0247794,0.347491
"63",0.397949,0.758487
"64",0.292982,1.04867
"65",0.565719,0.0346676
"66",0.659491,0.14618
"67",0.777648,0.644313
"68",0.3901,0.309637
"69",0.12123,0.711698
"70",0.960695,0.466491
"71",0.337136,0.720524
"72",0.12123,0.711698
"73",0.902484,-0.0244349
"74",0.164165,1.03411
"75",0.29324,0.250785
"76",0.247288,0.172824
"77",-0.00972178,0.270195
"78",0.0874845,0.386513
"79",0.533584,0.276363
"80",0.565719,0.0346676
"81",0.157648,0.538538
"82",-0.0247794,0.347491
"83",0.94429,0.657136
"84",0.58572,0.584797
"85",0.262967,0.501704
"86",0.202385,0.363947
"87",0.529925,0.620893
"88",0.930402,0.505636
"89",0.220097,0.478245
"90",-0.0699592,0.271192
"91",0.86724,0.5982
"92",0.685942,0.618262
"93",0.85266,-0.0689191
"94",0.551076,0.835028
"95",-0.0699592,0.271192
"96",0.447474,0.46809
"97",0.412239,0.0862455
"98",0.358574,1.08035
"99",0.29324,0.250785
"100",-0.105423,0.437017
"101",0.286789,0.511685
"102",0.739734,0.826536
"103",0.310288,0.839258
"104",0.1722,0.47132
"105",0.86724,0.5982
"106",0.488779,1.15474
"107",0.456174,0.694351
"108",0.401045,0.71779
"109",0.269074,0.102756
"110",0.00480858,0.268102
"111",-0.0699592,0.271192
"112",1.13165,0.456618
"113",0.777494,0.532465
"114",0.659491,0.14618
"115",0.247288,0.172824
"116",1.1621,0.180629
"117",0.262967,0.501704
"118",0.0377625,0.649432
"119",0.659491,0.14618
"120",0.883,0.360591
"121",0.284189,1.02829
"122",0.483377,0.860109
"123",0.483377,0.860109
"124",0.739734,0.826536
"125",0.823854,0.892007
"126",0.259749,0.701944
"127",0.389907,0.746596
"128",0.0827595,0.658777
"129",0.276847,0.516895
"130",0.474202,0.639351
"131",0.1722,0.47132
"132",0.960695,0.466491
"133",0.29324,0.250785
"134",0.529925,0.620893
"135",0.292982,1.04867
"136",0.286789,0.511685
"137",0.565719,0.0346676
"138",0.85266,-0.0689191
"139",0.401045,0.71779
"140",0.564837,1.08143
"141",0.488779,1.15474
"142",0.421532,0.936302
"143",0.412239,0.0862455
"144",0.564837,1.08143
"145",0.276847,0.516895
"146",0.551076,0.835028
"147",0.250774,0.583786
"148",0.157648,0.538538
"149",-0.12659,1.02517
"150",0.0827595,0.658777
"151",0.358574,1.08035
"152",0.567457,0.72957
"153",0.543783,1.13364
"154",0.0600993,0.449538
"155",0.94429,0.657136
"156",0.0874845,0.386513
"157",0.696322,0.732059
"158",0.310288,0.839258
"159",0.157648,0.538538
"160",0.220097,0.478245
"161",0.721764,0.517985
"162",-0.0247794,0.347491
"163",0.337136,0.720524
"164",0.249106,0.104776
"165",0.456174,0.694351
"166",0.913186,0.776793
"167",0.807589,0.936485
"168",0.0827595,0.658777
"169",0.646679,0.709798
"170",-0.0414032,0.517648
"171",0.567457,0.72957
"172",0.276679,0.262499
"173",0.902484,-0.0244349
"174",0.353638,0.584063
"175",0.269074,0.102756
"176",0.721764,0.517985
"177",0.564837,1.08143
"178",0.292982,1.04867
"179",0.630089,0.334052
"180",0.529925,0.620893
"181",0.310288,0.839258
"182",0.21997,0.617583
"183",0.565719,0.0346676
"184",0.696322,0.732059
"185",1.01632,0.201015
"186",-0.0699592,0.271192
"187",0.659491,0.14618
"188",0.74571,0.29278
"189",-0.0247794,0.347491
"190",0.187964,0.371655
"191",0.565719,0.0346676
"192",0.412239,0.0862455
"193",0.456569,0.679871
"194",1.05304,0.98726
"195",0.250774,0.583786
"196",0.456174,0.694351
"197",0.883,0.360591
"198",0.216289,0.394077
"199",0.111736,0.0256625
"200",-0.00972178,0.270195
"201",0.187964,0.371655
"202",0.474202,0.639351
"203",0.86724,0.5982
"204",0.262967,0.501704
"205",0.94429,0.657136
"206",0.57978,0.719531
"207",0.276679,0.262499
"208",0.567457,0.72957
"209",0.94429,0.657136
"210",0.564837,1.08143
"211",0.262967,0.501704
"212",0.397949,0.758487
"213",0.0874845,0.386513
"214",0.238211,-0.00542968
"215",1.05304,0.98726
"216",0.269074,0.102756
"217",0.284189,1.02829
"218",0.276847,0.516895
"219",0.21997,0.617583
"220",1.13165,0.456618
"221",0.543783,1.13364
"222",0.243656,0.156908
"223",0.337136,0.720524
"224",1.084,0.762125
"225",0.777494,0.532465
"226",0.337136,0.720524
"227",0.259749,0.701944
"228",0.21997,0.617583
"229",0.0874845,0.386513
"230",0.838063,0.525708
"231",0.855409,0.280293
"232",0.714638,0.130789
"233",0.550103,0.345437
"234",-0.0247794,0.347491
"235",0.483377,0.860109
"236",0.164165,1.03411
"237",0.0377625,0.649432
"238",0.550103,0.345437
"239",0.284189,1.02829
"240",1.1621,0.180629
"241",0.157648,0.538538
"242",0.60257,0.301382
"243",-0.0247794,0.347491
"244",1.13165,0.456618
"245",1.05304,0.98726
"246",0.296029,0.631353
"247",0.902484,-0.0244349
"248",0.777494,0.532465
"249",0.296029,0.631353
"250",0.21997,0.617583
"251",0.838063,0.525708
"252",0.960695,0.466491
"253",0.529925,0.620893
"254",0.259749,0.701944
"255",0.567457,0.72957
"256",0.58572,0.584797
"257",0.630089,0.334052
"258",0.883,0.360591
"259",0.447474,0.46809
"260",0.12123,0.711698
"261",0.238211,-0.00542968
"262",0.21997,0.617583
"263",0.3901,0.309637
"264",0.00480858,0.268102
"265",0.807589,0.936485
"266",0.412239,0.0862455
"267",0.202385,0.363947
"268",0.564837,1.08143
"269",0.94429,0.657136
"270",0.85266,-0.0689191
"271",0.650406,-0.0125245
"272",0.519309,0.554612
"273",1.084,0.762125
"274",0.913186,0.776793
"275",0.111736,0.0256625
"276",0.650406,-0.0125245
"277",0.421532,0.936302
"278",0.474202,0.639351
"279",0.723835,0.373205
"280",0.337136,0.720524
"281",0.57978,0.719531
"282",0.389907,0.746596
"283",0.688223,0.304788
"284",0.838063,0.525708
"285",0.456569,0.679871
"286",-0.12659,1.02517
"287",0.646679,0.709798
"288",1.1621,0.180629
"289",0.296029,0.631353
"290",0.685942,0.618262
"291",0.247288,0.172824
"292",0.164165,1.03411
"293",0.565719,0.0346676
"294",0.960695,0.466491
"295",-0.0699592,0.271192
"296",0.529925,0.620893
"297",-0.0699592,0.271192
"298",0.187964,0.371655
"299",1.01632,0.201015
"300",-0.105423,0.437017
"301",1.13165,0.456618
"302",0.723835,0.373205
"303",0.650406,-0.0125245
"304",0.1722,0.47132
"305",0.751546,0.126304
"306",0.269074,0.102756
"307",0.269074,0.102756
"308",0.292982,1.04867
"309",0.543783,1.13364
"310",0.421532,0.936302
"311",0.807589,0.936485
"312",0.157648,0.538538
"313",0.930402,0.505636
"314",0.412239,0.0862455
"315",1.084,0.762125
"316",0.739734,0.826536
"317",0.269074,0.102756
"318",0.397949,0.758487
"319",0.1722,0.47132
"320",0.543783,1.13364
"321",0.262967,0.501704
"322",0.529925,0.620893
"323",0.447474,0.46809
"324",-0.0699592,0.271192
"325",1.1621,0.180629
"326",0.456174,0.694351
"327",0.838063,0.525708
"328",0.777648,0.644313
"329",0.630089,0.334052
