"","VAR1","VAR2"
"1",0.895463,0.952527
"2",0.434908,0.670037
"3",0.104965,0.46132
"4",0.607214,0.182213
"5",0.837876,0.00360596
"6",0.162883,0.177302
"7",0.360686,0.810899
"8",1.15689,0.717988
"9",0.661682,0.397498
"10",0.964835,0.782459
"11",0.387755,0.438495
"12",0.378657,0.573058
"13",-0.158264,0.385092
"14",0.272772,0.818381
"15",0.770689,0.687289
"16",0.683943,0.445529
"17",0.624631,0.706143
"18",0.272772,0.818381
"19",0.264176,0.617947
"20",0.848559,0.323236
"21",0.363033,0.118165
"22",-0.158264,0.385092
"23",0.948525,0.270121
"24",1.12034,1.04485
"25",0.886516,0.309917
"26",0.612823,0.342291
"27",0.466578,0.35769
"28",0.837876,0.00360596
"29",0.125948,0.950657
"30",0.83327,0.352559
"31",0.359598,0.898186
"32",0.848559,0.323236
"33",0.359598,0.898186
"34",0.0636808,0.735597
"35",0.889844,0.231849
"36",1.15776,0.459358
"37",0.964835,0.782459
"38",0.429434,0.80175
"39",0.152647,0.513467
"40",0.295019,-0.0607966
"41",0.42831,0.236524
"42",0.889844,0.231849
"43",0.372235,1.07046
"44",0.152647,0.513467
"45",0.0126835,0.411443
"46",0.90431,0.530182
"47",0.953408,0.711146
"48",0.552444,0.945874
"49",0.16093,-0.195665
"50",0.319976,0.770793
"51",0.230608,0.5597
"52",-0.0468902,0.731282
"53",1.19469,0.0659887
"54",1.12034,1.04485
"55",0.90431,0.530182
"56",0.837876,0.00360596
"57",0.612823,0.342291
"58",1.08822,0.216272
"59",0.575046,0.948175
"60",0.272772,0.818381
"61",0.169283,0.969463
"62",0.534907,1.17335
"63",0.481611,1.05717
"64",0.336246,0.301721
"65",0.479742,0.699854
"66",0.895463,0.952527
"67",0.100261,0.558066
"68",0.264176,0.617947
"69",0.164799,0.597
"70",0.624631,0.706143
"71",0.83327,0.352559
"72",0.363033,0.118165
"73",0.612823,0.342291
"74",0.610563,0.374234
"75",0.360686,0.810899
"76",1.19469,0.0659887
"77",0.431972,0.424096
"78",1.15689,0.717988
"79",0.697086,1.07737
"80",0.230608,0.5597
"81",0.930624,0.439733
"82",0.848559,0.323236
"83",0.386302,0.687999
"84",1.19469,0.0659887
"85",0.0636808,0.735597
"86",0.645945,0.201115
"87",0.481611,1.05717
"88",0.891628,0.610453
"89",0.697086,1.07737
"90",0.329104,0.823522
"91",0.360686,0.810899
"92",-0.117054,0.392559
"93",0.169283,0.969463
"94",0.36411,0.438719
"95",-0.158264,0.385092
"96",0.363033,0.118165
"97",0.607214,0.182213
"98",0.948525,0.270121
"99",0.434908,0.670037
"100",0.612823,0.342291
"101",0.230608,0.5597
"102",0.794489,-0.114963
"103",0.612823,0.342291
"104",0.624631,0.706143
"105",1.08822,0.216272
"106",0.489789,0.164906
"107",0.700144,0.0259382
"108",0.329104,0.823522
"109",0.372235,1.07046
"110",0.886516,0.309917
"111",0.534907,1.17335
"112",0.0120528,0.361932
"113",0.645945,0.201115
"114",0.481611,1.05717
"115",0.42831,0.236524
"116",0.930624,0.439733
"117",0.0822641,0.551946
"118",0.953408,0.711146
"119",0.607214,0.182213
"120",0.669673,0.518896
"121",0.683943,0.445529
"122",0.632476,0.113828
"123",0.962693,0.112359
"124",0.90431,0.530182
"125",0.36411,0.438719
"126",0.90431,0.530182
"127",1.08822,0.216272
"128",0.604628,0.559683
"129",0.169283,0.969463
"130",0.479742,0.699854
"131",0.964835,0.782459
"132",0.661974,0.510225
"133",0.833379,0.676143
"134",0.0126835,0.411443
"135",0.387755,0.438495
"136",-0.117054,0.392559
"137",0.697086,1.07737
"138",0.722723,0.180923
"139",1.15776,0.459358
"140",0.722754,-0.10551
"141",0.962693,0.112359
"142",0.661682,0.397498
"143",0.678896,0.152111
"144",0.678896,0.152111
"145",0.372235,1.07046
"146",0.319976,0.770793
"147",0.572825,0.341566
"148",0.272772,0.818381
"149",0.683943,0.445529
"150",0.848559,0.323236
"151",0.706511,0.629044
"152",0.387755,0.438495
"153",1.15776,0.459358
"154",0.363033,0.118165
"155",0.678896,0.152111
"156",0.264176,0.617947
"157",0.632476,0.113828
"158",1.15776,0.459358
"159",0.604628,0.559683
"160",0.83327,0.352559
"161",0.489789,0.164906
"162",1.15689,0.717988
"163",0.506786,0.774157
"164",0.678896,0.152111
"165",1.19469,0.0659887
"166",0.54883,0.833388
"167",1.09447,0.319573
"168",0.953408,0.711146
"169",0.891628,0.610453
"170",0.329104,0.823522
"171",0.770689,0.687289
"172",0.645945,0.201115
"173",0.125948,0.950657
"174",0.700144,0.0259382
"175",0.607214,0.182213
"176",0.90431,0.530182
"177",0.848559,0.323236
"178",0.661682,0.397498
"179",0.572825,0.341566
"180",0.891628,0.610453
"181",0.434908,0.670037
"182",0.0120528,0.361932
"183",0.12505,0.0636312
"184",0.946978,0.0951077
"185",0.378657,0.573058
"186",0.466578,0.35769
"187",0.557416,1.01683
"188",0.612823,0.342291
"189",0.803238,0.468794
"190",0.609562,0.52613
"191",1.19469,0.0659887
"192",0.230608,0.5597
"193",0.895463,0.952527
"194",0.434908,0.670037
"195",0.607214,0.182213
"196",1.15776,0.459358
"197",0.896529,0.723159
"198",0.632476,0.113828
"199",-0.117054,0.392559
"200",0.12505,0.0636312
"201",0.506786,0.774157
"202",0.162883,0.177302
"203",1.08406,0.329343
"204",0.164799,0.597
"205",0.572825,0.341566
"206",0.295019,-0.0607966
"207",0.803238,0.468794
"208",0.604628,0.559683
"209",0.329104,0.823522
"210",0.434908,0.670037
