"","V1"
"1",0.315453
"2",0.248552
"3",0.362077
"4",0.218168
"5",0.137113
"6",0.340792
"7",0.991335
"8",0.675425
"9",0.302882
"10",0.723666
"11",0.352497
"12",0.240339
"13",0.809348
"14",0.126913
"15",0.369555
"16",0.88862
"17",0.973477
"18",0.751347
"19",0.602991
"20",0.378359
"21",0.473774
"22",0.377153
"23",0.424732
"24",0.519947
"25",0.401507
"26",0.329743
"27",0.331967
"28",0.143737
"29",0.562891
"30",0.923345
"31",0.856058
"32",0.335077
"33",0.913461
"34",0.68984
"35",0.751389
"36",0.670019
"37",0.633902
"38",0.791929
"39",0.168252
"40",0.305708
"41",0.846061
"42",0.381281
"43",0.240995
"44",0.665967
"45",0.276324
"46",0.407693
"47",0.252848
"48",0.806857
"49",0.769984
"50",0.170058
"51",0.482935
"52",0.863332
"53",0.781065
"54",0.275726
"55",0.729645
"56",0.45726
"57",0.457989
"58",0.856969
"59",0.446623
"60",0.915475
"61",0.2018
"62",0.543678
"63",0.146225
"64",0.147713
"65",0.633068
"66",0.687523
"67",0.660891
"68",0.140058
"69",0.144554
"70",0.786461
"71",0.43393
"72",0.65973
"73",0.344661
"74",0.238305
"75",0.16448
"76",0.626856
"77",0.171832
"78",0.315397
"79",0.444806
"80",0.324612
"81",0.993002
"82",0.542481
"83",0.419365
"84",0.310102
"85",0.438926
"86",0.567327
"87",0.255323
"88",0.757142
"89",0.227101
"90",0.2087
"91",0.272229
"92",0.731918
"93",0.545003
"94",0.297505
"95",0.780473
"96",0.771167
"97",0.187211
"98",0.37741
"99",0.318394
"100",0.713525
"101",0.290909
"102",0.345251
"103",0.467703
"104",0.643246
"105",0.259418
"106",0.35683
"107",0.43192
"108",0.147188
"109",0.88955
"110",0.971541
"111",0.37156
"112",0.531475
"113",0.992652
"114",0.510652
"115",0.592618
"116",0.887594
"117",0.352211
"118",0.711039
"119",0.364217
"120",0.713086
"121",0.399343
"122",0.631329
"123",0.422808
"124",0.391604
"125",0.548784
"126",0.660111
"127",0.815369
"128",0.276336
"129",0.315826
"130",0.657087
"131",0.685067
"132",0.312023
"133",0.966605
"134",0.259119
"135",0.795165
"136",0.632881
"137",0.407693
"138",0.512931
"139",0.645043
"140",0.354464
"141",0.290909
"142",0.391604
"143",0.564281
"144",0.446435
"145",0.543678
"146",0.853657
"147",0.727167
"148",0.632505
"149",0.326163
"150",0.418883
"151",0.307676
"152",0.951852
"153",0.403925
"154",0.450938
"155",0.667351
"156",0.815369
"157",0.81183
"158",0.845324
"159",0.365187
"160",0.314325
"161",0.641593
"162",0.318002
"163",0.556753
"164",0.556027
"165",0.316172
"166",0.318178
"167",0.908503
"168",0.277444
"169",0.61414
"170",0.803292
"171",0.362753
"172",0.908675
"173",0.731209
"174",0.507998
"175",0.220782
"176",0.641009
"177",0.193041
"178",0.404476
"179",0.315826
"180",0.730167
"181",0.135616
"182",0.543678
"183",0.543678
"184",0.344689
"185",0.965277
"186",0.928994
"187",0.224126
"188",0.743442
"189",0.818741
"190",0.137843
"191",0.67111
"192",0.512717
"193",0.653736
"194",0.224317
"195",0.244177
"196",0.771167
"197",0.944154
"198",0.638066
"199",0.277275
"200",0.984812
"201",0.244575
"202",0.89094
"203",0.906413
"204",0.602426
"205",0.463382
"206",0.254759
"207",0.919076
"208",0.767158
"209",0.908958
"210",0.167501
"211",0.302837
"212",0.107928
"213",0.452911
"214",0.339671
"215",0.734467
"216",0.328794
"217",0.363119
"218",0.256578
"219",0.29499
"220",0.616506
"221",0.7331
"222",0.311994
"223",0.41751
"224",0.637198
"225",0.546006
"226",0.142879
"227",0.293259
"228",0.117
"229",0.581858
"230",0.81183
"231",0.368712
"232",0.817922
"233",0.313393
"234",0.859993
"235",0.61461
"236",0.403925
"237",0.410446
"238",0.451128
"239",0.269249
"240",0.920714
"241",0.391604
"242",0.603856
"243",0.533376
"244",0.935281
"245",0.685718
"246",0.714455
"247",0.426078
"248",0.59661
"249",0.347227
"250",0.168252
"251",0.816186
"252",0.236888
"253",0.189663
"254",0.552647
"255",0.734128
"256",0.715395
"257",0.783624
"258",0.724454
"259",0.431138
"260",0.432652
"261",0.684083
"262",0.625563
"263",0.989053
"264",0.183067
"265",0.444767
"266",0.933056
"267",0.131233
"268",0.231365
"269",0.233781
"270",0.390282
"271",0.369536
"272",0.274634
"273",0.384867
"274",0.381735
"275",0.344992
"276",0.232833
"277",0.677207
"278",0.618263
"279",0.356132
"280",0.262276
"281",0.321897
"282",0.31555
"283",0.977083
"284",0.397833
"285",0.269249
"286",0.366078
"287",0.526831
"288",0.308513
"289",0.895821
"290",0.916483
"291",0.663222
"292",0.785106
"293",0.301015
"294",0.604808
"295",0.844158
"296",0.292876
"297",0.919829
"298",0.495194
"299",0.204391
"300",0.319178
"301",0.635839
"302",0.587226
"303",0.789412
"304",0.256604
"305",0.566515
"306",0.577141
"307",0.405017
"308",0.680145
"309",0.594652
"310",0.105813
"311",0.152023
"312",0.218089
"313",0.781045
"314",0.52516
"315",0.438025
"316",0.41124
"317",0.151217
"318",0.367171
"319",0.335689
"320",0.166753
"321",0.63481
"322",0.557524
"323",0.391325
