"","VAR1","VAR2"
"1",0.258221,0.788492
"2",0.371447,0.711698
"3",0.660716,0.549298
"4",0.559113,0.109018
"5",0.559113,0.109018
"6",0.486434,0.132211
"7",0.589476,0.898095
"8",0.218632,0.406594
"9",0.215994,0.546086
"10",0.439055,0.167984
"11",0.245579,0.46243
"12",0.838421,0.590984
"13",0.806348,0.215512
"14",0.138115,0.107032
"15",0.556915,0.502019
"16",0.716157,0.274282
"17",0.818962,0.902693
"18",0.0930146,0.516035
"19",0.18876,0.218821
"20",0.295385,0.686642
"21",0.521109,0.19824
"22",0.654929,0.21494
"23",0.736391,0.390948
"24",0.216727,0.799743
"25",0.51971,0.424265
"26",0.521484,0.361961
"27",0.247417,0.0845879
"28",0.838421,0.590984
"29",0.654469,0.117939
"30",0.806348,0.215512
"31",0.779544,0.794753
"32",0.700711,0.11069
"33",0.368155,0.374329
"34",0.833221,0.304748
"35",0.0906311,0.727324
"36",0.752443,0.681893
"37",0.660716,0.549298
"38",0.902378,0.409639
"39",0.559113,0.109018
"40",0.890022,0.224127
"41",0.45154,0.280618
"42",0.215994,0.546086
"43",0.691828,0.524397
"44",0.187422,0.709956
"45",0.465592,0.580078
"46",0.394992,0.910159
"47",0.120961,0.633392
"48",0.767749,0.362703
"49",0.476073,0.452742
"50",0.838421,0.590984
"51",0.0906311,0.727324
"52",0.332507,0.659455
"53",0.304881,0.421394
"54",0.838421,0.590984
"55",0.62207,0.360201
"56",0.479827,0.831692
"57",0.931456,0.790972
"58",0.91064,0.763479
"59",0.405321,0.166711
"60",0.318391,0.178884
"61",0.444875,0.715246
"62",0.843235,0.491902
"63",0.302447,0.123086
"64",0.387537,0.300357
"65",0.218632,0.406594
"66",0.218632,0.406594
"67",0.465592,0.580078
"68",0.138115,0.107032
"69",0.138115,0.107032
"70",0.62207,0.360201
"71",0.625929,0.43105
"72",0.465592,0.580078
"73",0.343401,0.545128
"74",0.120961,0.633392
"75",0.198375,0.955561
"76",0.218632,0.406594
"77",0.444875,0.715246
"78",0.247417,0.0845879
"79",0.258221,0.788492
"80",0.486434,0.132211
"81",0.589476,0.898095
"82",0.304881,0.421394
"83",0.521484,0.361961
"84",0.10148,0.3115
"85",0.405321,0.166711
"86",0.111337,0.460163
"87",0.209706,0.911087
"88",0.601571,0.622618
"89",0.838421,0.590984
"90",0.282399,0.389903
"91",0.761824,0.107211
"92",0.343078,0.105562
"93",0.915261,0.561256
"94",0.700711,0.11069
"95",0.368782,0.418293
"96",0.601571,0.622618
"97",0.838421,0.590984
"98",0.343401,0.545128
"99",0.829644,0.639472
"100",0.476073,0.452742
"101",0.468082,0.856623
"102",0.297116,0.51907
"103",0.654929,0.21494
"104",0.18876,0.218821
"105",0.269905,0.850412
"106",0.111337,0.460163
"107",0.89797,0.885204
"108",0.559113,0.109018
"109",0.368155,0.374329
"110",0.818962,0.902693
"111",0.521484,0.361961
"112",0.843235,0.491902
"113",0.213702,0.277929
"114",0.74466,0.849702
"115",0.660716,0.549298
"116",0.318391,0.178884
"117",0.709749,0.234827
"118",0.218632,0.406594
"119",0.691828,0.524397
"120",0.601571,0.622618
"121",0.57719,0.282397
"122",0.136661,0.368797
"123",0.617078,0.717305
"124",0.601694,0.819781
"125",0.52874,0.625662
"126",0.187422,0.709956
"127",0.500232,0.870373
"128",0.381281,0.653811
"129",0.890022,0.224127
"130",0.18876,0.218821
"131",0.111337,0.460163
"132",0.247417,0.0845879
"133",0.213702,0.277929
"134",0.602809,0.289749
"135",0.500232,0.870373
"136",0.858077,0.256751
"137",0.394992,0.910159
"138",0.421649,0.584798
"139",0.90125,0.107326
"140",0.521484,0.361961
"141",0.468082,0.856623
"142",0.601694,0.819781
"143",0.755773,0.46198
"144",0.89797,0.885204
"145",0.843235,0.491902
"146",0.755773,0.46198
"147",0.833221,0.304748
"148",0.90125,0.107326
"149",0.381281,0.653811
"150",0.617078,0.717305
"151",0.10148,0.3115
"152",0.806348,0.215512
"153",0.394992,0.910159
"154",0.479827,0.831692
"155",0.767749,0.362703
"156",0.500232,0.870373
"157",0.500232,0.870373
"158",0.806348,0.215512
"159",0.654929,0.21494
"160",0.343401,0.545128
"161",0.161274,0.800216
"162",0.381281,0.653811
"163",0.660716,0.549298
"164",0.736391,0.390948
"165",0.468082,0.856623
"166",0.381281,0.653811
"167",0.779544,0.794753
"168",0.721536,0.644578
"169",0.422361,0.371154
"170",0.500232,0.870373
"171",0.709749,0.234827
"172",0.0943949,0.199191
"173",0.752443,0.681893
"174",0.74466,0.849702
"175",0.282399,0.389903
"176",0.136661,0.368797
"177",0.697339,0.799216
"178",0.601694,0.819781
"179",0.890022,0.224127
"180",0.284157,0.296005
"181",0.138115,0.107032
"182",0.843235,0.491902
"183",0.843235,0.491902
"184",0.625929,0.43105
"185",0.552473,0.821727
"186",0.552473,0.821727
"187",0.269905,0.850412
"188",0.304881,0.421394
"189",0.905396,0.681947
"190",0.387537,0.300357
"191",0.521109,0.19824
"192",0.405321,0.166711
"193",0.90125,0.107326
"194",0.120961,0.633392
"195",0.302447,0.123086
"196",0.601571,0.622618
"197",0.552473,0.821727
"198",0.858077,0.256751
"199",0.269905,0.850412
"200",0.213702,0.277929
"201",0.721536,0.644578
"202",0.368155,0.374329
"203",0.0943949,0.199191
"204",0.245579,0.46243
"205",0.479827,0.831692
"206",0.700142,0.443575
"207",0.368155,0.374329
"208",0.0906311,0.727324
"209",0.476073,0.452742
"210",0.302447,0.123086
"211",0.215994,0.546086
"212",0.721536,0.644578
"213",0.512665,0.701579
"214",0.247417,0.0845879
"215",0.465592,0.580078
"216",0.215994,0.546086
"217",0.625929,0.43105
"218",0.602809,0.289749
"219",0.761824,0.107211
"220",0.18876,0.218821
"221",0.767749,0.362703
"222",0.52874,0.625662
"223",0.601694,0.819781
"224",0.0906311,0.727324
"225",0.295385,0.686642
"226",0.387537,0.300357
"227",0.709749,0.234827
"228",0.143264,0.880246
"229",0.187422,0.709956
"230",0.500232,0.870373
"231",0.405321,0.166711
"232",0.187422,0.709956
"233",0.295385,0.686642
"234",0.91064,0.763479
"235",0.284157,0.296005
"236",0.394992,0.910159
"237",0.371447,0.711698
"238",0.51971,0.424265
"239",0.209706,0.911087
"240",0.318391,0.178884
"241",0.601694,0.819781
"242",0.45154,0.280618
"243",0.422361,0.371154
"244",0.779544,0.794753
"245",0.161274,0.800216
"246",0.601571,0.622618
"247",0.258221,0.788492
"248",0.216727,0.799743
"249",0.700711,0.11069
"250",0.559113,0.109018
"251",0.833221,0.304748
"252",0.269905,0.850412
"253",0.371447,0.711698
"254",0.74466,0.849702
"255",0.343078,0.105562
"256",0.556915,0.502019
"257",0.902378,0.409639
"258",0.767749,0.362703
"259",0.89797,0.885204
"260",0.89797,0.885204
"261",0.601571,0.622618
"262",0.439055,0.167984
"263",0.589476,0.898095
"264",0.120961,0.633392
"265",0.51971,0.424265
"266",0.755773,0.46198
"267",0.138115,0.107032
"268",0.120961,0.633392
"269",0.721536,0.644578
"270",0.365648,0.804165
"271",0.691828,0.524397
"272",0.421649,0.584798
"273",0.691828,0.524397
"274",0.51971,0.424265
"275",0.709749,0.234827
"276",0.282399,0.389903
"277",0.905396,0.681947
"278",0.858077,0.256751
"279",0.297116,0.51907
"280",0.209706,0.911087
"281",0.625929,0.43105
"282",0.80399,0.559403
"283",0.818962,0.902693
"284",0.617078,0.717305
"285",0.209706,0.911087
"286",0.556915,0.502019
"287",0.829644,0.639472
"288",0.421649,0.584798
"289",0.91064,0.763479
"290",0.716157,0.274282
"291",0.660716,0.549298
"292",0.365648,0.804165
"293",0.700142,0.443575
"294",0.0906311,0.727324
