"","x","y"
"1",6.16935,10.3848
"2",0.983753,3.78118
"3",9.18462,3.45285
"4",3.81931,10.3587
"5",11.1679,5.82756
"6",1.9264,1.65078
"7",3.23973,1.10123
"8",0.632881,4.34064
"9",5.15868,11.2983
"10",10.0861,8.74011
"11",10.3154,10.9135
"12",6.16291,4.97289
"13",7.97851,3.94685
"14",2.27918,8.50722
"15",7.83577,1.61631
"16",5.08159,10.1598
"17",4.92775,8.15659
"18",1.0208,7.41522
"19",8.9129,5.73242
"20",9.93127,11.1726
"21",0.690469,6.42736
"22",10.7774,8.08008
"23",4.36964,8.76044
"24",6.76142,9.07089
"25",10.8399,9.82159
"26",9.98012,5.44429
"27",10.243,1.50417
"28",6.59537,10.8847
"29",5.08397,7.94249
"30",0.72935,9.00421
"31",6.41409,4.90311
"32",9.7184,0.816101
"33",1.70741,2.90027
"34",10.317,9.96756
"35",0.956806,5.7628
"36",10.0887,6.21206
"37",1.57763,9.52678
"38",7.93976,3.94429
"39",4.17776,9.20424
"40",8.11713,1.48695
"41",8.26923,9.99735
"42",3.76714,1.8118
"43",0.908098,5.70176
"44",6.79929,1.65075
"45",4.09851,7.39732
"46",6.70191,7.07617
"47",6.58604,11.421
"48",7.96961,1.86908
"49",4.21932,10.8261
"50",7.41641,10.194
"51",1.61548,3.82564
"52",3.56594,9.09632
"53",7.03331,2.89975
"54",11.1724,2.18866
"55",1.62555,4.92956
"56",3.80647,2.28551
"57",6.20512,2.73426
"58",10.5551,4.16211
"59",7.62144,2.14008
"60",2.97271,6.761
"61",2.00421,11.2547
"62",5.30527,10.4526
"63",8.74601,5.95217
"64",4.06214,6.202
"65",11.4708,11.3169
"66",7.01528,10.2348
"67",7.97642,10.1134
"68",6.8575,10.9242
"69",9.46763,0.825393
"70",6.42797,2.90918
"71",6.18208,0.774746
"72",2.75685,1.54684
"73",8.90042,4.16037
"74",4.02283,7.69063
"75",9.85939,0.710893
"76",3.83304,0.977253
"77",1.84477,10.8966
"78",4.22441,11.295
"79",3.61287,9.83007
"80",3.81522,2.17416
"81",0.956768,0.778694
"82",6.47257,2.98311
"83",9.38323,10.3503
"84",5.52114,11.2252
"85",11.2938,7.0987
"86",11.1017,6.04005
"87",2.49247,2.15768
"88",9.1413,2.3426
"89",0.710426,6.24768
"90",1.89904,9.54442
"91",9.27627,9.31278
"92",4.83579,1.7776
