"","V1"
"1",0.426409
"2",0.703647
"3",0.964135
"4",0.52072
"5",0.85641
"6",0.407444
"7",0.874868
"8",0.256393
"9",0.549002
"10",0.356267
"11",0.637426
"12",0.821697
"13",0.184642
"14",0.85036
"15",0.106879
"16",0.426173
"17",0.645444
"18",0.804593
"19",0.767164
"20",0.396974
"21",0.884832
"22",0.172364
"23",0.758912
"24",0.125524
"25",0.428307
"26",0.277058
"27",0.35132
"28",0.789357
"29",0.574124
"30",0.270299
"31",0.553518
"32",0.370019
"33",0.544843
"34",0.946135
"35",0.321329
"36",0.163135
"37",0.356267
"38",0.40642
"39",0.874111
"40",0.566715
"41",0.175943
"42",0.337243
"43",0.477839
"44",0.83742
"45",0.456119
"46",0.569341
"47",0.626405
"48",0.390753
"49",0.15921
"50",0.979217
"51",0.352159
"52",0.460097
"53",0.0976756
"54",0.134133
"55",0.583193
"56",0.832889
"57",0.270211
"58",0.262511
"59",0.665402
"60",0.90056
"61",0.610896
"62",0.308679
"63",0.579656
"64",0.730783
"65",0.557769
"66",0.578349
"67",0.573474
"68",0.838928
"69",0.354733
"70",0.657548
"71",0.376312
"72",0.884832
"73",0.277058
"74",0.414561
"75",0.899105
"76",0.0586097
"77",0.312483
"78",0.28328
"79",0.311897
"80",0.337616
"81",0.726883
"82",0.357677
"83",0.700391
"84",0.10169
"85",0.956044
"86",0.543136
"87",0.587118
"88",0.191699
"89",0.322598
"90",0.298835
"91",0.907986
"92",0.40607
"93",0.546902
"94",0.6882
"95",0.197269
"96",0.874613
"97",0.359755
"98",0.744182
"99",0.584059
"100",0.297542
"101",0.317465
"102",0.371187
"103",0.327822
"104",0.654205
"105",0.262511
"106",0.266646
"107",0.629033
"108",0.319227
"109",0.438193
"110",0.484491
"111",0.302672
"112",0.267464
"113",0.581429
"114",0.367793
"115",0.180081
"116",0.730568
"117",0.223647
"118",0.858529
"119",0.521716
"120",0.147974
"121",0.452489
"122",0.232382
"123",0.430189
"124",0.563196
"125",0.777682
"126",0.569341
"127",0.27053
"128",0.809011
"129",0.56274
"130",0.356749
"131",0.389926
"132",0.19861
"133",0.275368
"134",0.456119
"135",0.440172
"136",0.376297
"137",0.211963
"138",0.345161
"139",0.163135
"140",0.249614
"141",0.611058
"142",0.516009
"143",0.782839
"144",0.815783
"145",0.522831
"146",0.991412
"147",0.573393
"148",0.781249
"149",0.430697
"150",0.35499
"151",0.870203
"152",0.609949
"153",0.16948
"154",0.916393
"155",0.810559
