"","x","y"
"1",8.31492,2.08495
"2",5.61107,0.833601
"3",0.537938,6.48178
"4",7.65791,6.67341
"5",10.2247,11.3357
"6",1.09515,6.39622
"7",4.3124,3.05467
"8",11.3761,0.904225
"9",9.74001,5.65558
"10",9.68519,3.91049
"11",3.93479,10.0644
"12",4.85499,6.40794
"13",0.774283,3.99752
"14",2.39335,3.28578
"15",5.57731,6.04473
"16",5.44035,5.22798
"17",9.22116,5.16359
"18",2.66247,3.38532
"19",4.06062,4.11528
"20",7.16189,9.6567
"21",3.26038,9.89485
"22",0.912912,4.44253
"23",10.0405,8.96263
"24",11.0176,3.7619
"25",7.74282,7.61433
"26",11.0613,5.4911
"27",8.85794,7.29056
"28",10.2979,10.9658
"29",0.726079,2.68397
"30",7.02872,8.13216
"31",2.04725,1.10298
"32",8.04147,10.2332
"33",1.75665,0.599962
"34",0.994404,3.18569
"35",7.77447,11.0753
"36",11.052,9.86018
"37",9.36097,4.59816
"38",6.45281,5.04984
"39",0.730389,7.37888
"40",2.03179,11.1409
"41",8.72291,6.58649
"42",7.53686,11.158
"43",2.97368,0.724249
"44",1.07173,7.75479
"45",0.878545,9.95882
"46",10.0124,3.18681
"47",9.32058,2.07123
"48",6.27131,2.77129
"49",4.15845,11.5057
"50",3.42248,3.13439
"51",2.96532,8.60752
"52",2.04066,4.59428
"53",11.3088,8.59442
"54",11.2605,3.72056
"55",9.9009,3.19025
"56",9.98241,10.5371
"57",10.8598,5.77328
"58",9.7519,6.62595
"59",8.16452,2.10354
"60",2.24484,3.66229
"61",2.51438,2.02364
"62",6.40701,1.17389
"63",4.74981,0.789753
"64",3.42694,6.49416
"65",2.68133,5.43522
"66",9.19007,1.92455
"67",2.22635,8.01414
"68",4.3939,4.36522
"69",4.10508,7.75457
"70",8.48133,5.42985
"71",6.79405,7.90429
"72",2.86989,9.71381
"73",11.3091,5.60214
"74",8.52788,4.21746
"75",4.65594,3.18079
"76",11.2694,8.29063
"77",1.70483,10.2842
"78",11.146,0.849528
"79",11.4009,1.75578
"80",3.14283,9.07061
"81",9.95782,7.70507
"82",7.91646,10.1379
"83",4.02618,5.74475
"84",10.9066,8.34465
"85",1.06498,3.07461
"86",5.11958,9.9989
"87",4.69112,0.880062
"88",9.23447,8.73984
"89",11.1927,1.64332
"90",6.17726,4.1951
"91",4.57835,3.03864
"92",1.07857,8.78203
"93",1.80353,2.71853
"94",6.68372,6.45685
"95",0.782483,4.36748
"96",2.91898,10.1429
"97",7.95915,6.58446
"98",10.1781,9.14172
"99",5.66808,0.880947
"100",11.0443,5.56441
"101",3.03984,8.78645
"102",8.66718,11.252
"103",11.205,5.70992
"104",8.68945,5.70048
"105",10.1682,6.79516
"106",3.2714,7.75576
"107",6.08019,10.9887
"108",6.37836,4.0721
"109",3.80785,1.13639
"110",7.7306,7.68625
"111",6.87756,0.989598
"112",2.66416,6.07389
"113",5.47692,10.3032
"114",3.82654,0.688641
"115",9.2274,6.45949
"116",9.7263,7.78861
"117",3.44229,1.94981
"118",9.97198,2.51862
"119",7.36471,6.80219
"120",4.71791,1.8045
"121",5.77627,5.0955
"122",4.40533,8.43433
"123",9.11571,10.0721
"124",9.69537,3.43874
"125",6.62184,6.41907
"126",9.81705,3.18594
"127",9.99314,6.6251
"128",7.42344,3.10113
"129",1.80326,2.63024
"130",1.7412,5.5639
"131",9.70752,4.26138
"132",5.42698,2.17176
"133",7.7739,0.941901
"134",0.899563,9.82325
