"","VAR1","VAR2"
"1",0.691646,0.784777
"2",0.48344,0.839771
"3",0.0419009,0.480212
"4",0.595131,0.418686
"5",0.801943,0.0908589
"6",0.145676,0.43781
"7",0.386557,0.745719
"8",0.899946,0.836227
"9",0.763062,0.540985
"10",0.763955,0.595591
"11",0.403671,0.235703
"12",0.361468,0.437633
"13",0.0861509,0.606835
"14",0.18074,0.706064
"15",0.485181,0.427855
"16",0.435499,0.56027
"17",0.74686,0.542288
"18",0.18074,0.706064
"19",0.40314,0.630681
"20",0.643543,0.171534
"21",0.272167,0.18679
"22",0.0861509,0.606835
"23",0.788201,0.26145
"24",0.914835,0.745417
"25",0.595261,0.401723
"26",0.896025,0.521542
"27",0.747339,0.382041
"28",0.801943,0.0908589
"29",0.116399,0.831828
"30",0.563468,0.398573
"31",0.169306,0.871236
"32",0.643543,0.171534
"33",0.169306,0.871236
"34",0.0960427,0.744994
"35",0.638363,0.142786
"36",0.87345,0.219218
"37",0.763955,0.595591
"38",0.536767,0.549419
"39",0.142315,0.411352
"40",0.199875,0.144278
"41",0.712816,0.416701
"42",0.638363,0.142786
"43",0.301844,0.862133
"44",0.142315,0.411352
"45",0.103138,0.197507
"46",0.801831,0.697136
"47",0.799555,0.768911
"48",0.537269,0.679133
"49",0.363049,0.00875399
"50",0.298632,0.742395
"51",0.265362,0.284529
"52",0.196764,0.633691
"53",0.89711,0.307287
"54",0.914835,0.745417
"55",0.801831,0.697136
"56",0.801943,0.0908589
"57",0.896025,0.521542
"58",0.813087,0.470228
"59",0.650279,0.760348
"60",0.18074,0.706064
"61",0.202874,0.767408
"62",0.50056,0.88899
"63",0.334111,0.843677
"64",0.313107,0.486274
"65",0.238226,0.527312
"66",0.691646,0.784777
"67",0.234808,0.372942
"68",0.40314,0.630681
"69",0.395384,0.394157
"70",0.74686,0.542288
"71",0.563468,0.398573
"72",0.272167,0.18679
"73",0.896025,0.521542
"74",0.691216,0.644382
"75",0.386557,0.745719
"76",0.89711,0.307287
"77",0.205136,0.228188
"78",0.899946,0.836227
"79",0.868435,0.794371
"80",0.265362,0.284529
"81",0.803071,0.339907
"82",0.643543,0.171534
"83",0.384956,0.511184
"84",0.89711,0.307287
"85",0.0960427,0.744994
"86",0.418846,0.169257
"87",0.334111,0.843677
"88",0.701054,0.323175
"89",0.868435,0.794371
"90",0.550346,0.636546
"91",0.386557,0.745719
"92",0.122861,0.314141
"93",0.202874,0.767408
"94",0.506988,0.44518
"95",0.0861509,0.606835
"96",0.272167,0.18679
"97",0.595131,0.418686
"98",0.788201,0.26145
"99",0.48344,0.839771
"100",0.896025,0.521542
"101",0.265362,0.284529
"102",0.667779,0.157319
"103",0.896025,0.521542
"104",0.74686,0.542288
"105",0.813087,0.470228
"106",0.251249,0.38
"107",0.551226,0.0857464
"108",0.550346,0.636546
"109",0.301844,0.862133
"110",0.595261,0.401723
"111",0.50056,0.88899
"112",0.232794,0.430693
"113",0.418846,0.169257
"114",0.334111,0.843677
"115",0.712816,0.416701
"116",0.803071,0.339907
"117",0.293534,0.793121
"118",0.799555,0.768911
"119",0.595131,0.418686
"120",0.387504,0.792434
"121",0.435499,0.56027
"122",0.415094,0.261201
"123",0.74557,0.185368
"124",0.801831,0.697136
"125",0.506988,0.44518
"126",0.801831,0.697136
"127",0.813087,0.470228
"128",0.632441,0.697834
"129",0.202874,0.767408
