"","VAR1","VAR2"
"1",0.721652,0.463187
"2",0.17293,0.51115
"3",1.11279,0.451457
"4",0.117245,0.404751
"5",1.10359,0.446077
"6",0.56219,0.783398
"7",0.235148,0.461049
"8",0.631614,0.949399
"9",0.70401,0.606991
"10",0.523332,0.320458
"11",0.286972,0.800907
"12",0.427183,0.440932
"13",0.706554,0.375273
"14",0.309444,0.808409
"15",0.625732,0.766781
"16",0.650788,0.355536
"17",0.245048,0.914866
"18",0.148029,0.0973056
"19",0.891737,0.718548
"20",0.379451,0.419002
"21",0.561105,0.409031
"22",0.784198,0.795705
"23",0.0288997,0.0232043
"24",0.479377,0.59121
"25",0.721652,0.463187
"26",-0.0169944,0.398778
"27",1.00747,0.806747
"28",0.300053,-0.0991747
"29",0.133503,0.960571
"30",0.266489,0.477028
"31",0.438238,0.917716
"32",0.762369,0.0106566
"33",0.389571,1.03282
"34",0.935813,0.21457
"35",0.714431,0.361388
"36",0.0418161,0.0930881
"37",0.396234,0.463047
"38",0.514925,0.785597
"39",0.54485,0.478211
"40",0.689874,0.828887
"41",0.715496,0.55105
"42",0.66574,0.30969
"43",0.3238,0.020908
"44",0.631614,0.949399
"45",0.395532,0.707002
"46",0.320683,0.547181
"47",0.314923,1.05474
"48",0.972083,0.806783
"49",0.421291,0.699064
"50",0.891737,0.718548
"51",1.11279,0.451457
"52",0.287329,0.0534519
"53",0.607243,0.287124
"54",0.759166,0.711003
"55",0.383803,0.303913
"56",0.625732,0.766781
"57",0.249979,0.199319
"58",0.477286,0.66134
"59",0.395532,0.707002
"60",1.11279,0.451457
"61",0.205527,0.0995531
"62",0.0464352,0.584272
"63",0.416757,0.364691
"64",0.383803,0.303913
"65",0.561105,0.409031
"66",0.455721,1.06278
"67",0.631614,0.949399
"68",0.314923,1.05474
"69",0.560027,0.0962519
"70",0.561796,0.381154
"71",0.438238,0.917716
"72",0.715496,0.55105
"73",0.479377,0.59121
"74",0.663597,0.041493
"75",0.543421,0.636217
"76",0.365091,0.660343
"77",0.523332,0.320458
"78",0.047274,0.473989
"79",0.427183,0.440932
"80",0.431193,0.597881
"81",0.237317,0.0517366
"82",0.0418161,0.0930881
"83",0.711543,0.967847
"84",0.714496,0.510503
"85",0.560027,0.0962519
"86",1.10359,0.446077
"87",0.762369,0.0106566
"88",0.249979,0.199319
"89",0.560027,0.0962519
"90",0.543421,0.636217
"91",0.706554,0.375273
"92",0.963727,0.766191
"93",0.594198,-0.117428
"94",0.309444,0.808409
"95",0.498731,0.573552
"96",0.339562,0.588322
"97",0.286972,0.800907
"98",0.549568,0.00539292
"99",0.339562,0.588322
"100",0.410909,0.347509
"101",0.300053,-0.0991747
"102",0.714431,0.361388
"103",0.421291,0.699064
"104",0.416757,0.364691
"105",0.427183,0.440932
"106",0.17293,0.51115
"107",0.164425,0.353429
"108",0.148029,0.0973056
"109",0.891737,0.718548
"110",0.493674,0.682941
"111",0.818354,0.347696
"112",0.148029,0.0973056
"113",1.10552,0.496492
"114",0.549568,0.00539292
"115",0.416757,0.364691
"116",0.477286,0.66134
"117",0.421291,0.699064
"118",-0.0169944,0.398778
"119",0.0418161,0.0930881
"120",0.543421,0.636217
"121",1.00747,0.806747
"122",0.594198,-0.117428
"123",-0.132213,0.328835
"124",0.245048,0.914866
"125",-0.164673,0.292132
"126",0.133503,0.960571
"127",0.431193,0.597881
"128",0.375167,0.624444
"129",1.0457,0.719731
"130",0.560027,0.0962519
"131",0.3238,0.020908
"132",0.431193,0.597881
"133",0.365091,0.660343
"134",0.705402,0.474775
"135",0.17293,0.51115
"136",0.455721,1.06278
"137",0.499214,0.633065
"138",0.498731,0.573552
"139",0.689874,0.828887
"140",0.549568,0.00539292
"141",-0.150311,0.916373
"142",0.784198,0.795705
"143",0.391718,0.0730521
"144",1.00187,0.452595
"145",0.498731,0.573552
"146",0.830938,0.376811
"147",0.543421,0.636217
"148",0.0418161,0.0930881
"149",0.689874,0.828887
"150",0.286972,0.800907
"151",0.133503,0.960571
"152",0.156003,0.580128
"153",0.711543,0.967847
"154",0.715496,0.55105
"155",0.235148,0.461049
"156",0.309444,0.808409
"157",0.711543,0.967847
"158",1.10359,0.446077
"159",0.389571,1.03282
"160",1.11279,0.451457
"161",0.830938,0.376811
"162",0.266489,0.477028
"163",0.493674,0.682941
"164",0.514925,0.785597
"165",0.54485,0.478211
"166",0.3238,0.020908
"167",0.493674,0.682941
"168",0.940992,0.543321
"169",0.56219,0.783398
"170",0.0288997,0.0232043
"171",0.396234,0.463047
"172",0.483238,0.592635
"173",0.963727,0.766191
"174",0.148029,0.0973056
"175",1.00187,0.452595
"176",0.133503,0.960571
"177",0.117245,0.404751
"178",0.54485,0.478211
"179",0.689874,0.828887
"180",0.594198,-0.117428
"181",0.230489,0.472673
"182",0.244148,0.233556
"183",0.156003,0.580128
"184",0.421291,0.699064
"185",0.249979,0.199319
"186",0.148029,0.0973056
"187",0.818354,0.347696
"188",0.663597,0.041493
"189",0.493674,0.682941
"190",0.244148,0.233556
"191",0.514925,0.785597
"192",0.940992,0.543321
"193",0.438238,0.917716
"194",0.543421,0.636217
"195",0.421291,0.699064
"196",1.17936,0.789208
"197",0.615893,0.814095
"198",0.383803,0.303913
"199",0.818354,0.347696
"200",0.320683,0.547181
"201",1.17936,0.789208
"202",0.830938,0.376811
"203",1.10552,0.496492
"204",0.817904,-0.113629
"205",0.117245,0.404751
"206",1.11279,0.451457
"207",0.594198,-0.117428
"208",0.455721,1.06278
"209",0.266489,0.477028
"210",-0.150311,0.916373
"211",0.721652,0.463187
"212",0.339562,0.588322
"213",0.379451,0.419002
"214",0.410909,0.347509
"215",0.479377,0.59121
"216",0.543421,0.636217
"217",0.70401,0.606991
"218",0.775713,0.898151
"219",0.0464352,0.584272
"220",0.499214,0.633065
"221",0.431193,0.597881
"222",1.17936,0.789208
"223",0.156003,0.580128
"224",0.715496,0.55105
"225",0.117245,0.404751
"226",0.818354,0.347696
"227",1.17936,0.789208
"228",0.361004,0.880852
"229",0.705402,0.474775
"230",0.615893,0.814095
"231",0.561105,0.409031
"232",0.375167,0.624444
"233",0.17293,0.51115
"234",-0.132213,0.328835
"235",1.10552,0.496492
"236",0.940992,0.543321
"237",0.0418161,0.0930881
"238",0.0464352,0.584272
"239",0.549568,0.00539292
"240",0.574487,0.828071
"241",1.00747,0.806747
"242",0.791935,0.0977126
"243",0.395532,0.707002
"244",0.499214,0.633065
"245",-0.132213,0.328835
"246",0.650788,0.355536
"247",0.940992,0.543321
"248",0.650788,0.355536
"249",0.715496,0.55105
"250",0.375167,0.624444
"251",0.455721,1.06278
"252",0.830938,0.376811
"253",0.244148,0.233556
"254",0.775713,0.898151
"255",0.156003,0.580128
"256",0.54485,0.478211
"257",0.705402,0.474775
"258",1.00187,0.452595
"259",0.483238,0.592635
"260",0.396234,0.463047
"261",0.431193,0.597881
"262",-0.164673,0.292132
"263",0.762369,0.0106566
"264",0.314923,1.05474
"265",0.625732,0.766781
"266",0.431193,0.597881
"267",0.133503,0.960571
"268",0.493674,0.682941
"269",0.320683,0.547181
"270",0.891737,0.718548
"271",0.594198,-0.117428
"272",0.549568,0.00539292
"273",0.383803,0.303913
"274",0.422734,0.792366
"275",-0.150311,0.916373
"276",0.784198,0.795705
"277",0.523332,0.320458
"278",0.383803,0.303913
"279",0.574487,0.828071
"280",0.721652,0.463187
"281",1.00128,0.864518
"282",0.791935,0.0977126
"283",1.00128,0.864518
"284",0.631614,0.949399
"285",0.383803,0.303913
"286",0.663597,0.041493
"287",0.416757,0.364691
"288",0.410909,0.347509
