"","V1"
"1",0.995695
"2",0.986874
"3",0.893568
"4",0.996802
"5",0.946615
"6",0.99978
"7",0.947773
"8",0.971657
"9",0.950511
"10",0.916497
"11",0.905918
"12",0.987874
"13",0.967014
"14",0.984492
"15",0.993825
"16",0.982745
"17",0.94974
"18",0.983607
"19",0.989983
"20",0.996784
"21",0.943861
"22",0.99095
"23",0.987184
"24",0.997153
"25",0.956213
"26",0.98593
"27",0.955335
"28",0.97354
"29",0.993931
"30",0.908624
"31",0.936984
"32",0.98205
"33",0.996811
"34",0.883988
"35",0.982938
"36",0.951367
"37",0.983118
"38",0.926388
"39",0.979842
"40",0.966159
"41",0.944015
"42",0.992956
"43",0.914656
"44",0.960219
"45",0.778814
"46",0.987462
"47",0.990749
"48",0.964066
"49",0.993661
"50",0.987537
"51",0.93793
"52",0.95661
"53",0.998211
"54",0.969889
"55",0.984996
"56",0.986247
"57",0.910574
"58",0.950694
"59",0.996454
"60",0.985213
"61",0.998392
"62",0.997693
"63",0.982579
"64",0.991402
"65",0.966644
"66",0.972735
"67",0.99136
"68",0.971879
"69",0.966502
"70",0.995059
"71",0.988011
"72",0.993951
"73",0.948724
"74",0.992689
"75",0.884255
"76",0.942912
"77",0.995074
"78",0.975129
"79",0.976892
"80",0.998434
"81",0.942224
"82",0.914914
"83",0.977137
"84",0.957255
"85",0.994503
"86",0.950322
"87",0.966622
"88",0.985727
"89",0.993823
"90",0.98515
"91",0.961063
"92",0.999155
"93",0.808869
"94",0.969841
"95",0.976171
"96",0.992817
"97",0.991451
"98",0.968164
"99",0.953629
"100",0.974914
"101",0.998308
"102",0.984063
"103",0.992274
"104",0.994195
"105",0.996862
"106",0.962947
"107",0.894409
"108",0.963587
"109",0.982496
"110",0.93448
"111",0.99785
"112",0.996995
"113",0.996343
"114",0.989032
"115",0.987874
"116",0.99552
"117",0.993687
"118",0.973067
"119",0.997861
"120",0.983337
"121",0.983328
"122",0.981776
"123",0.997326
"124",0.997944
"125",0.999425
"126",0.986946
"127",0.986922
"128",0.984515
"129",0.967775
"130",0.987694
"131",0.933781
"132",0.964996
"133",0.969657
